version,standard
http://www.tdwg.org/standards/450/version/2015-03-27,http://www.tdwg.org/standards/450
http://www.tdwg.org/standards/450/version/2014-12-23,http://www.tdwg.org/standards/450
http://www.tdwg.org/standards/450/version/2014-10-23,http://www.tdwg.org/standards/450
http://www.tdwg.org/standards/450/version/2013-05-25,http://www.tdwg.org/standards/450
http://www.tdwg.org/standards/450/version/2013-03-28,http://www.tdwg.org/standards/450
http://www.tdwg.org/standards/450/version/2011-10-16,http://www.tdwg.org/standards/450
http://www.tdwg.org/standards/450/version/2009-12-07,http://www.tdwg.org/standards/450
http://www.tdwg.org/standards/450/version/2009-10-09,http://www.tdwg.org/standards/450
http://www.tdwg.org/standards/638/version/2013-10-28,http://www.tdwg.org/standards/638
http://www.tdwg.org/standards/147/version/2017-04-25,http://www.tdwg.org/standards/147
http://www.tdwg.org/standards/642/version/2017-04-25,http://www.tdwg.org/standards/642
http://www.tdwg.org/standards/150/version/2011-01-30,http://www.tdwg.org/standards/150
http://www.tdwg.org/standards/449/version/2009-09-09,http://www.tdwg.org/standards/449
http://www.tdwg.org/standards/638/version/2020-01-27,http://www.tdwg.org/standards/638
http://www.tdwg.org/standards/450/version/2017-10-06,http://www.tdwg.org/standards/450
http://www.tdwg.org/standards/450/version/2018-09-06,http://www.tdwg.org/standards/450
http://www.tdwg.org/standards/450/version/2020-08-12,http://www.tdwg.org/standards/450
http://www.tdwg.org/standards/450/version/2020-08-20,http://www.tdwg.org/standards/450
http://www.tdwg.org/standards/638/version/2020-08-23,http://www.tdwg.org/standards/638
