"identifier","context","text"
"acceptedNameUsage:label","Label for Accepted Name Usage http://rs.tdwg.org/dwc/terms/acceptedNameUsage","Accepted Name Usage"
"acceptedNameUsage:rdfs_comment","Comment for Accepted Name Usage http://rs.tdwg.org/dwc/terms/acceptedNameUsage","Полное название, с автором и датой описания, если известны, текущего валидного (в зоологии) или принятого (в ботанике) dwc:Taxon."
"acceptedNameUsage:dcterms_description","Description for Accepted Name Usage http://rs.tdwg.org/dwc/terms/acceptedNameUsage","Полное научное название, включающее авторство и дату (при их наличии), для правильного (ботанического) или валидного (зоологического) названия. Используется в ситуациях, когда первоначально предоставленное название таксона в dwc:scientificName признаётся источником, ссылка на который указана в dwc:nameAccordingTo, или поставщиком данных синонимичным или ошибочно применённым. При использовании для dwc:Organism или dwc:Occurrence данный термин следует применять, если поставщик данных намерен указать на несоответствие между названием таксона, предоставленным dwc:scientificName и своей таксономической трактовкой. Так, в коллекциях образцов и наборах данных наблюдений часто фиксируются несовпадения между первоначально зафиксированным названием (например, по результатам экспертизы образца или полевого определения) и названием, которое поставщик данных считает таксономически корректным."
"acceptedNameUsage:examples","Examples for Accepted Name Usage http://rs.tdwg.org/dwc/terms/acceptedNameUsage","`Tamias minimus` (валидное название `Eutamias minimus`)"
"acceptedNameUsageID:label","Label for Accepted Name Usage ID http://rs.tdwg.org/dwc/terms/acceptedNameUsageID","ID принятого (правильного, валидного) научного названия"
"acceptedNameUsageID:rdfs_comment","Comment for Accepted Name Usage ID http://rs.tdwg.org/dwc/terms/acceptedNameUsageID","Идентификатор употребления названия (документированного статуса названия согласно источнику) для валидного (зоологического) или правильного (ботанического) названия таксона."
"acceptedNameUsageID:dcterms_description","Description for Accepted Name Usage ID http://rs.tdwg.org/dwc/terms/acceptedNameUsageID","Данный термин должен использоваться для синонимов или ошибочно применяемых названий для ссылки на dwc:taxonID записи dwc:Taxon, которая представляет правильное (ботаническое) или валидное (зоологическое) название. Для архивов Darwin Core соответствующая запись должна присутствовать локально в том же архиве."
"acceptedNameUsageID:examples","Examples for Accepted Name Usage ID http://rs.tdwg.org/dwc/terms/acceptedNameUsageID","`tsn:41107` (ITIS); `urn:lsid:ipni.org:names:320035-2` (IPNI); `2704179` (GBIF); `6W3C4` (COL)"
"associatedMedia:label","Label for Associated Media http://rs.tdwg.org/dwc/terms/associatedMedia","Связанные медиаресурсы"
"associatedMedia:rdfs_comment","Comment for Associated Media http://rs.tdwg.org/dwc/terms/associatedMedia","Список (в одной строке, через разделитель) идентификаторов (публикация, глобальный уникальный идентификатор, URI) медиаресурсов, связанных с dwc:Occurrence."
"associatedOccurrences:label","Label for Associated Occurrences http://rs.tdwg.org/dwc/terms/associatedOccurrences","Связанные находки"
"associatedOccurrences:rdfs_comment","Comment for Associated Occurrences http://rs.tdwg.org/dwc/terms/associatedOccurrences","Список (в одной строке через разделитель) идентификаторов других записей dwc:Occurrence, связанных с данной записью dwc:Occurrence."
"associatedOccurrences:dcterms_description","Description for Associated Occurrences http://rs.tdwg.org/dwc/terms/associatedOccurrences","Этот термин предназначен для указания перечня связей с иными записями dwc:Occurrence. Обратите внимание, что для описания таких связей с более высокой детализацией может также применяться класс dwc:ResourceRelationship. В соответствии с рекомендуемой практикой, значения в перечне следует разделять символом «вертикальная черта» с пробелами (` | `)."
"associatedOrganisms:label","Label for Associated Organisms http://rs.tdwg.org/dwc/terms/associatedOrganisms","Связанные организмы"
"associatedOrganisms:rdfs_comment","Comment for Associated Organisms http://rs.tdwg.org/dwc/terms/associatedOrganisms","Список (в одной строке через разделитель) идентификаторов других записей dwc:Organisms и связей данного dwc:Organism с каждым из них."
