standard,label,directoryName,summary,cover_image,cover_image_by,cover_image_ref,tags,github,website,website_title,status,description
http://www.tdwg.org/standards/147,TDWG Standards Documentation Standard,sds,The TDWG Standards Documentation Standard (SDS) consists of a single document: the [Standards Documentation Specification](https://github.com/tdwg/vocab/blob/master/sds/documentation-specification.md). That document defines how TDWG standards are to be presented. It provides details about the hierarchical structure of standards and versioning of standards components. It specifies how the properties of standards and their components are to be described in human-readable and machine-readable terms.,https://images.unsplash.com/photo-1497796742626-fe30f204ec54,Lysander Yuen,https://unsplash.com/photos/wk833OrQLJE,"technical specification, current standard, 2017",https://github.com/tdwg/vocab/tree/master/sds,,,,A standard that documents how standards should be described in human- and machine-readable terms.
http://www.tdwg.org/standards/642,Vocabulary Maintenance Standard,vms,The TDWG Vocabulary Maintenance Standard consists of a single document: the [Vocabulary Maintenance Specification](https://github.com/tdwg/vocab/blob/master/vms/maintenance-specification.md). That document describes the processes used to modify TDWG vocabularies and their associated documents.,https://images.unsplash.com/photo-1502911679107-2b54f5c0292c,Igor Ovsyannykov,https://unsplash.com/photos/VkFhaQHVcE4,"best practice, current standard, 2017",https://github.com/tdwg/vocab/tree/master/vms,,,,A standard that describes the processes used to modify TDWG vocabularies and their associated documents.
http://www.tdwg.org/standards/638,Audubon Core Multimedia Resources Metadata Schema,ac,"The Audubon Core (AC) is a set of vocabularies designed to represent metadata for biodiversity multimedia resources and collections. These vocabularies aim to represent information that will help to determine whether a particular resource or collection will be fit for some particular biodiversity science application before acquiring the media. Among others, the vocabularies address such concerns as the management of the media and collections, descriptions of their content, their taxonomic, geographic, and temporal coverage, and the appropriate ways to retrieve, attribute and reproduce them.",https://images.unsplash.com/photo-1430990480609-2bf7c02a6b1a,Mikhail Vasilyev,https://unsplash.com/photos/gGC63oug3iY,"technical specification, current standard, 2013",https://github.com/tdwg/ac,https://tdwg.github.io/ac/,Audubon Core website,,The Audubon Core is a set of vocabularies designed to represent metadata for biodiversity multimedia resources and collections.
http://www.tdwg.org/standards/150,GUID and Life Sciences Identifiers Applicability Statements,guid-as,The Global Unique Identifiers (GUID) applicability statements consist of an applicability statement on the use of GUIDs for the biodiversity information community in general ([Richards 2010]({static}tdwg_guid_applicability_statement.pdf)) and the use of Life Science Identifiers (LSID) in specific ([Pereira et al. 2009]({static}tdwg_lsid_applicability_statement.pdf)).,https://c2.staticflickr.com/4/3516/3701836175_5567871dc6_o.jpg,Erik de Vos,https://www.flickr.com/photos/mrcollaborator/3701836175,"applicability statement, current standard, 2011",https://github.com/tdwg/guid-as,,,,This standard provides guidance on how to use GUIDs to meet specific requirements of the biodiversity information community.
http://www.tdwg.org/standards/450,Darwin Core,dwc,"Darwin Core is a standard maintained by the [Darwin Core maintenance group](../../community/dwc). It includes a glossary of terms intended to **facilitate the sharing of information about biological diversity** by providing identifiers, labels, and definitions. Darwin Core is primarily based on taxa, their occurrence in nature as documented by observations, specimens, samples, and related information.",https://images.unsplash.com/photo-1492031215329-791748ee1253,Alex Guillaume,https://unsplash.com/photos/0MC0o-xLucM,"technical specification, current standard, 2009",https://github.com/tdwg/dwc,https://dwc.tdwg.org,Darwin Core website,,"This vocabulary standard includes a glossary of terms intended to facilitate the sharing of information about biological diversity by providing identifiers, labels, and definitions. "
http://www.tdwg.org/standards/449,TDWG Access Protocol for Information Retrieval (TAPIR),tapir,"TAPIR is a computer protocol designed for discovery, search and retrieval of distributed data over the Internet. TAPIR consists of a [specification](http://tdwg.github.io/tapir/docs/) that determines how client applications seeking information should communicate with server applications hosting data. TAPIR is an approved TDWG standard.",https://c1.staticflickr.com/7/6158/6263150201_a4c9705ff9_b.jpg,Biodiversity Heritage Library,https://www.flickr.com/photos/biodivlibrary/6263150201,"technical specification, current standard, 2010",https://github.com/tdwg/tapir,http://tdwg.github.io/tapir/docs/,TAPIR specification,,"TAPIR is a computer protocol designed for discovery, search and retrieval of distributed data over the Internet. "
http://www.tdwg.org/standards/115,Access to Biological Collection Data (ABCD) Schema,abcd,The Access to Biological Collections Data (ABCD) Schema is an evolving comprehensive standard for the access to and exchange of data about specimens and observations (a.k.a. primary biodiversity data).,https://c1.staticflickr.com/1/839/41611348922_d4030a5197_b.jpg,Natural History Museum: Coleoptera Section,https://www.flickr.com/photos/nhm_beetle_id/41611348922/,"technical specification, 2005 standard, 2005",https://github.com/tdwg/abcd,https://abcd.tdwg.org/xml/documentation/primer/2.06/,ABCD version 2.06,,"A common data specification for biological collection units, including living and preserved specimens, along with field observations that did not produce voucher specimens. It is intended to support the exchange and integration of detailed primary collection and observation data."
http://www.tdwg.org/standards/116,Structured Descriptive Data,sdd,"The goal of the SDD standard is to allow capture, transport, caching and archiving of descriptive data (data describing a taxon or specimen), using a platform- and application-independent, international standard. Such a standard is crucial to enabling lossless porting of data between existing and future software platforms including identification, data-mining and analysis tools, and federated databases.",https://c1.staticflickr.com/5/4871/32317503938_1eb7c72aeb_h.jpg,Biodiversity Heritage Library,https://www.flickr.com/photos/biodivlibrary/32317503938,"technical specification, 2005 standard, 2005",https://github.com/tdwg/sdd,,,,An international XML-based standard for capturing and managing descriptive data for organisms.
http://www.tdwg.org/standards/117,Taxonomic Concept Transfer Schema,tcs,"The TCS schema was conceived to allow the representation of taxonomic concepts as defined in published taxonomic classifications, revisions and databases. As such, it specifies the structure for XML documents to be used for the transfer of defined concepts. Valid transfer documents may either explicitly detail the defining components of taxon concepts, transfer GUIDs referring to defined taxon concepts (if and when these are available) or a mixture of the two.",https://images.unsplash.com/photo-1502912143929-50c8a1ce1f69,Fancycrave,https://unsplash.com/photos/4A8ZSlAOUqs,"technical specification, 2005 standard, 2005",https://github.com/tdwg/tcs,,,,An XML schema that provides a mechanism for the providers of taxonomic information to exchange data.
http://www.tdwg.org/standards/107,Description Language for Taxonomy (DELTA) ,delta,"The DELTA format (DEscription Language for TAxonomy) is a flexible method for encoding taxonomic descriptions for computer processing. DELTA-format data can be used to produce natural-language descriptions, conventional or interactive keys, cladistic or phenetic classifications, and information-retrieval systems.",https://images.unsplash.com/photo-1459664018906-085c36f472af,Erol Ahmed,https://unsplash.com/photos/aIYFR0vbADk,"technical specification, 2005 standard, 1986",https://github.com/tdwg/delta,http://www.delta-intkey.com/,DELTA website,,A system for coding taxonomic descriptions so that they can be used as input to computer programs.
