document_modified,version,versionLocalName,version_isDefinedBy,version_issued,version_status,replaces_version,replaces1_version,replaces2_version,label,definition,usage,notes,controlled_value_string,skos_inScheme,type,term_localName
2020-10-17T11:09:51-04:00,http://rs.tdwg.org/dwcem/values/version/e-2020-10-13,e-2020-10-13,http://rs.tdwg.org/dwcem/values/version/,2020-10-13,recommended,,,,establishmentMeans controlled concept scheme,A SKOS Concept Scheme to be used as a controlled vocabulary for the Darwin Core terms dwc:establishmentMeans and dwciri:establishmentMeans,,,,,http://www.w3.org/2004/02/skos/core#ConceptScheme,e
2021-09-01T22:18:44-05:00,http://rs.tdwg.org/dwcem/values/version/e001-2020-10-13,e001-2020-10-13,http://rs.tdwg.org/dwcem/values/version/,2020-10-13,superseded,,,,native (indigenous),A taxon occurring within its natural range,,"What is considered native to an area varies with the biogeographic history of an area and the local interpretation of what is a ""natural range"".  ",native,e,http://www.w3.org/2004/02/skos/core#Concept,e001
2021-09-01T22:18:44-05:00,http://rs.tdwg.org/dwcem/values/version/e002-2020-10-13,e002-2020-10-13,http://rs.tdwg.org/dwcem/values/version/,2020-10-13,superseded,,,,native: reintroduced,"A taxon re-established by direct introduction by humans into an area which was once part of its natural range, but from where it had become extinct.",,Where a taxon has become extirpated from an area where it had naturally occurred it may be returned to that area deliberately with the intension of re-establishing it. ,nativeReintroduced,e,http://www.w3.org/2004/02/skos/core#Concept,e002
2021-09-01T22:18:44-05:00,http://rs.tdwg.org/dwcem/values/version/e003-2020-10-13,e003-2020-10-13,http://rs.tdwg.org/dwcem/values/version/,2020-10-13,superseded,,,,"introduced (alien, exotic, non-native, nonindigenous)",Establishment of a taxon by human agency into an area that is not part of its natural range,,"Organisms can be introduced to novel areas and habitats by human activity, either on purpose or by accident. Humans can also inadvertently create corridors that breakdown natural barriers to dispersal and allow organisms to spread beyond their natural range.",introduced,e,http://www.w3.org/2004/02/skos/core#Concept,e003
2021-09-01T22:18:44-05:00,http://rs.tdwg.org/dwcem/values/version/e004-2020-10-13,e004-2020-10-13,http://rs.tdwg.org/dwcem/values/version/,2020-10-13,superseded,,,,introduced: assisted colonisation,Establishment of a taxon specifically with the intention of creating a self-sustaining wild population in an area that is not part of the taxon's natural range,,In the event of environmental change and habitat destruction a conservation option is to introduce a taxon into an area it did not naturally occur,introducedAssistedColonisation,e,http://www.w3.org/2004/02/skos/core#Concept,e004
2020-10-17T11:09:51-04:00,http://rs.tdwg.org/dwcem/values/version/e005-2020-10-13,e005-2020-10-13,http://rs.tdwg.org/dwcem/values/version/,2020-10-13,recommended,,,,vagrant (casual),The temporary occurrence of a taxon far outside its natural or migratory range.,,Natural events and human activity can disperse organisms unpredictably into places where they may stay or survive for a period.,vagrant,e,http://www.w3.org/2004/02/skos/core#Concept,e005
2021-09-01T22:18:44-05:00,http://rs.tdwg.org/dwcem/values/version/e006-2020-10-13,e006-2020-10-13,http://rs.tdwg.org/dwcem/values/version/,2020-10-13,superseded,,,,"uncertain (unknown, cryptogenic)",The origin of the occurrence of the taxon in an area is obscure,,When there is a lack of fossil or historical evidence for the occurrence of a taxon in an area it can be impossible to know if the taxon is new to the area or native.,uncertain,e,http://www.w3.org/2004/02/skos/core#Concept,e006
2021-09-01T22:18:44-05:00,http://rs.tdwg.org/dwcem/values/version/e001-2021-09-01,e001-2021-09-01,http://rs.tdwg.org/dwcem/values/version/,2021-09-01,recommended,http://rs.tdwg.org/dwcem/values/version/e001-2020-10-13,,,native (indigenous),A taxon occurring within its natural range.,,"What is considered native to an area varies with the biogeographic history of an area and the local interpretation of what is a ""natural range"".",native,e,http://www.w3.org/2004/02/skos/core#Concept,e001
2021-09-01T22:18:44-05:00,http://rs.tdwg.org/dwcem/values/version/e002-2021-09-01,e002-2021-09-01,http://rs.tdwg.org/dwcem/values/version/,2021-09-01,recommended,http://rs.tdwg.org/dwcem/values/version/e002-2020-10-13,,,native: reintroduced,"A taxon re-established by direct introduction by humans into an area that was once part of its natural range, but from where it had become extinct.",,Where a taxon has become extirpated from an area where it had naturally occurred it may be returned to that area deliberately with the intension of re-establishing it.,nativeReintroduced,e,http://www.w3.org/2004/02/skos/core#Concept,e002
2021-09-01T22:18:44-05:00,http://rs.tdwg.org/dwcem/values/version/e003-2021-09-01,e003-2021-09-01,http://rs.tdwg.org/dwcem/values/version/,2021-09-01,recommended,http://rs.tdwg.org/dwcem/values/version/e003-2020-10-13,,,"introduced (alien, exotic, non-native, nonindigenous)",Establishment of a taxon by human agency into an area that is not part of its natural range.,,"Organisms can be introduced to novel areas and habitats by human activity, either on purpose or by accident. Humans can also inadvertently create corridors that break down natural barriers to dispersal and allow organisms to spread beyond their natural range.",introduced,e,http://www.w3.org/2004/02/skos/core#Concept,e003
2021-09-01T22:18:44-05:00,http://rs.tdwg.org/dwcem/values/version/e004-2021-09-01,e004-2021-09-01,http://rs.tdwg.org/dwcem/values/version/,2021-09-01,recommended,http://rs.tdwg.org/dwcem/values/version/e004-2020-10-13,,,introduced: assisted colonisation,Establishment of a taxon specifically with the intention of creating a self-sustaining wild population in an area that is not part of the taxon's natural range.,,In the event of environmental change and habitat destruction a conservation option is to introduce a taxon into an area it did not naturally occur.,introducedAssistedColonisation,e,http://www.w3.org/2004/02/skos/core#Concept,e004
2021-09-01T22:18:44-05:00,http://rs.tdwg.org/dwcem/values/version/e006-2021-09-01,e006-2021-09-01,http://rs.tdwg.org/dwcem/values/version/,2021-09-01,recommended,http://rs.tdwg.org/dwcem/values/version/e006-2020-10-13,,,"uncertain (unknown, cryptogenic)",The origin of the occurrence of the taxon in an area is obscure.,,When there is a lack of fossil or historical evidence for the occurrence of a taxon in an area it can be impossible to know if the taxon is new to the area or native.,uncertain,e,http://www.w3.org/2004/02/skos/core#Concept,e006
