vocabulary,termList
http://rs.tdwg.org/dwc/,http://rs.tdwg.org/dwc/terms/
http://rs.tdwg.org/dwc/,http://rs.tdwg.org/dwc/dc/
http://rs.tdwg.org/dwc/,http://rs.tdwg.org/dwc/dcterms/
http://rs.tdwg.org/dwc/,http://rs.tdwg.org/dwc/iri/
http://rs.tdwg.org/ac/,http://rs.tdwg.org/ac/terms/
http://rs.tdwg.org/ac/,http://rs.tdwg.org/ac/Iptc4xmpExt/
http://rs.tdwg.org/ac/,http://rs.tdwg.org/ac/exif/
http://rs.tdwg.org/ac/,http://rs.tdwg.org/ac/photoshop/
http://rs.tdwg.org/ac/,http://rs.tdwg.org/ac/xmp/
http://rs.tdwg.org/ac/,http://rs.tdwg.org/ac/xmpRights/
http://rs.tdwg.org/ac/,http://rs.tdwg.org/ac/dc/
http://rs.tdwg.org/ac/,http://rs.tdwg.org/ac/dcterms/
http://rs.tdwg.org/ac/,http://rs.tdwg.org/ac/dwc/
http://rs.tdwg.org/dwcem/,http://rs.tdwg.org/dwcem/values/
http://rs.tdwg.org/dwcdoe/,http://rs.tdwg.org/dwcdoe/values/
http://rs.tdwg.org/dwcpw/,http://rs.tdwg.org/dwcpw/values/
http://rs.tdwg.org/ac/,http://rs.tdwg.org/ac/mo/
http://rs.tdwg.org/acvariant/,http://rs.tdwg.org/acvariant/values/
http://rs.tdwg.org/format/,http://rs.tdwg.org/format/values/
http://rs.tdwg.org/acsubtype/,http://rs.tdwg.org/acsubtype/values/
