document_modified,version,versionLocalName,version_isDefinedBy,version_issued,version_status,replaces_version,replaces1_version,replaces2_version,label,rdfs_comment,dcterms_description,examples,rdf_type,tdwgutility_abcdEquivalence,tdwgutility_organizedInClass,tdwgutility_decision,tdwgutility_usageScope,term_localName
2023-06-28T16:00:00-05:00,http://dublincore.org/usage/terms/history/#accessRights-002,accessRights-002,http://dublincore.org/usage/terms/history/#,2008-01-14,recommended,http://rs.tdwg.org/dwc/terms/version/AccessConstraints-2008-11-19,,,Access Rights,Information about who can access the resource or an indication of its security status.,"Access Rights may include information regarding access or restrictions based on privacy, security, or other policies.",`not-for-profit use only` (string literal example); `https://www.fieldmuseum.org/field-museum-natural-history-conditions-and-suggested-norms-use-collections-data-and-images` (URI example),http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://purl.org/dc/terms/,,simple,accessRights
2023-06-28T16:00:00-05:00,http://dublincore.org/usage/terms/history/#bibliographicCitation-002,bibliographicCitation-002,http://dublincore.org/usage/terms/history/#,2008-01-14,recommended,,,,Bibliographic Citation,A bibliographic reference for the resource.,"From Dublin Core, ""Recommended practice is to include sufficient bibliographic detail to identify the resource as unambiguously as possible."" The intended usage of this term in Darwin Core is to provide the preferred way to cite the resource itself - ""how to cite this record"". Note that the intended usage of dcterms:references in Darwin Core, by contrast, is to point to the definitive source representation of the resource - ""where to find the as-close-to-original reference, if one is available.","`Museum of Vertebrate Zoology, UC Berkeley. MVZ Mammal Collection (Arctos). Record ID: http://arctos.database.museum/guid/MVZ:Mamm:165861?seid=101356. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=mvz_mammal.` (Occurrence example); `https://www.gbif.org/species/2439608 Source: GBIF Taxonomic Backbone` (Taxon example); `Rand, K.M., Logerwell, E.A. The first demersal trawl survey of benthic fish and invertebrates in the Beaufort Sea since the late 1970s. Polar Biol 34, 475–488 (2011). https://doi.org/10.1007/s00300-010-0900-2` (Event example)",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://purl.org/dc/terms/,,simple,bibliographicCitation
2023-06-28T16:00:00-05:00,http://dublincore.org/usage/terms/history/#languageT-001,languageT-001,http://dublincore.org/usage/terms/history/#,2008-01-14,recommended,,,,Language,A language of the resource.,Recommended best practice is to use an IRI from the Library of Congress ISO 639-2 scheme http://id.loc.gov/vocabulary/iso639-2,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://purl.org/dc/terms/,,,language
2023-06-28T16:00:00-05:00,http://dublincore.org/usage/terms/history/#license-002,license-002,http://dublincore.org/usage/terms/history/#,2008-01-14,recommended,http://dublincore.org/usage/terms/history/#rightsT-001,,,License,A legal document giving official permission to do something with the resource.,,`http://creativecommons.org/publicdomain/zero/1.0/legalcode`; `http://creativecommons.org/licenses/by/4.0/legalcode`,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://purl.org/dc/terms/,,simple,license
2023-06-28T16:00:00-05:00,http://dublincore.org/usage/terms/history/#Location-001,Location-001,http://dublincore.org/usage/terms/history/#,2008-01-14,recommended,http://rs.tdwg.org/dwc/dwctype/version/Location-2009-04-24,,,Location,A spatial region or named place.,,"`the municipality of San Carlos de Bariloche, Río Negro, Argentina`; `the place defined by a georeference`",http://www.w3.org/2000/01/rdf-schema#Class,not in ABCD,http://purl.org/dc/terms/,,,Location
2025-07-07T15:53:12-05:00,http://dublincore.org/usage/terms/history/#modified-003,modified-003,http://dublincore.org/usage/terms/history/#,2025-06-12,recommended,,,,Date Modified,Date on which the resource was changed.,Recommended best practice is to use a date that conforms to ISO 8601-1:2019.,`1963-03-08T14:07-06:00` (8 Mar 1963 at or after 2:07pm and before 2:08pm in the time zone six hours earlier than UTC); `2009-02-20T08:40Z` (20 February 2009 at or after 8:40am and before 8:41 UTC); `2018-08-29T15:19` (29 August 2018 at or after 3:19pm and before 3:20pm local time); `1809-02-12` (within the day 12 February 1809); `1906-06` (in the month of June 1906); `1971` (in the year 1971); `2007-03-01T13:00:00Z/2008-05-11T15:30:00Z` (some time within the interval beginning 1 March 2007 at 1pm UTC and before 11 May 2008 at 3:30pm UTC); `1900/1909` (some time within the interval between the beginning of the year 1900 and before the year 1909); `2007-11-13/15` (some time in the interval between the beginning of 13 November 2007 and before 15 November 2007),http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://purl.org/dc/terms/,,simple,modified
2023-06-28T16:00:00-05:00,http://dublincore.org/usage/terms/history/#references-003,references-003,http://dublincore.org/usage/terms/history/#,2008-01-14,recommended,,,,References,"A related resource that is referenced, cited, or otherwise pointed to by the described resource.","From Dublin Core, ""This property is intended to be used with non-literal values. This property is an inverse property of Is Referenced By."" The intended usage of this term in Darwin Core is to point to the definitive source representation of the resource (e.g.,Taxon, Occurrence, Event in Darwin Core), if one is available. Note that the intended usage of dcterms:bibliographicCitation in Darwin Core, by contrast, is to provide the preferred way to cite the resource itself.",`http://arctos.database.museum/guid/MVZ:Mamm:165861` (MaterialEntity example); `https://www.catalogueoflife.org/data/taxon/32664` (Taxon example),http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://purl.org/dc/terms/,,simple,references
2023-06-28T16:00:00-05:00,http://dublincore.org/usage/terms/history/#rightsHolder-002,rightsHolder-002,http://dublincore.org/usage/terms/history/#,2008-01-14,recommended,,,,Rights Holder,A person or organization owning or managing rights over the resource.,,`The Regents of the University of California`,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://purl.org/dc/terms/,,simple,rightsHolder
2023-06-28T16:00:00-05:00,http://dublincore.org/usage/terms/history/#typeT-001,typeT-001,http://dublincore.org/usage/terms/history/#,2008-01-14,deprecated,,,,Type,The nature or genre of the resource.,"To provide a string literal value for type, use dc:type rather than this term. In accordance with the Darwin Core RDF guide, rdf:type should be used instead of this term to indicate an IRI value for type.",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://purl.org/dc/terms/,,,type
2023-06-28T16:00:00-05:00,http://dublincore.org/usage/terms/history/#rightsT-001,rightsT-001,http://dublincore.org/usage/terms/history/#,2008-01-14,deprecated,,,,Rights,Information about rights held in and over the resource.,"Typically, rights information includes a statement about various property rights associated with the resource, including intellectual property rights.",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://purl.org/dc/terms/,http://rs.tdwg.org/dwc/terms/history/decisions/#Decision-2014-11-06_17,,rights
