standard_version,part
http://www.tdwg.org/standards/450/version/2015-03-27,http://rs.tdwg.org/dwc/terms/guides/rdf/2015-06-02
http://www.tdwg.org/standards/450/version/2015-03-27,http://rs.tdwg.org/dwc/terms/guides/text/2014-11-08
http://www.tdwg.org/standards/450/version/2015-03-27,http://rs.tdwg.org/dwc/terms/guides/xml/2014-11-08
http://www.tdwg.org/standards/450/version/2015-03-27,http://rs.tdwg.org/dwc/terms/simple/2014-11-08
http://www.tdwg.org/standards/450/version/2015-03-27,http://rs.tdwg.org/version/dwc/2015-03-27
http://www.tdwg.org/standards/450/version/2014-12-23,http://rs.tdwg.org/dwc/terms/guides/text/2014-11-08
http://www.tdwg.org/standards/450/version/2014-12-23,http://rs.tdwg.org/dwc/terms/guides/xml/2014-11-08
http://www.tdwg.org/standards/450/version/2014-12-23,http://rs.tdwg.org/dwc/terms/simple/2014-11-08
http://www.tdwg.org/standards/450/version/2014-12-23,http://rs.tdwg.org/version/dwc/2014-12-23
http://www.tdwg.org/standards/450/version/2014-10-23,http://rs.tdwg.org/dwc/2009-12-07/terms/guides/text/
http://www.tdwg.org/standards/450/version/2014-10-23,http://rs.tdwg.org/dwc/2010-05-23/terms/guides/xml/ 
http://www.tdwg.org/standards/450/version/2014-10-23,http://rs.tdwg.org/dwc/2013-10-22/terms/simple/ 
http://www.tdwg.org/standards/450/version/2014-10-23,http://rs.tdwg.org/version/dwc/2014-10-23
http://www.tdwg.org/standards/450/version/2013-05-25,http://rs.tdwg.org/dwc/2009-12-07/terms/guides/text/
http://www.tdwg.org/standards/450/version/2013-05-25,http://rs.tdwg.org/dwc/2010-05-23/terms/guides/xml/ 
http://www.tdwg.org/standards/450/version/2013-05-25,http://rs.tdwg.org/version/dwc/2013-05-25
http://www.tdwg.org/standards/450/version/2013-03-28,http://rs.tdwg.org/dwc/2009-12-07/terms/guides/text/
http://www.tdwg.org/standards/450/version/2013-03-28,http://rs.tdwg.org/dwc/2010-05-23/terms/guides/xml/ 
http://www.tdwg.org/standards/450/version/2013-03-28,http://rs.tdwg.org/version/dwc/2013-03-28
http://www.tdwg.org/standards/450/version/2011-10-16,http://rs.tdwg.org/dwc/2009-12-07/terms/guides/text/
http://www.tdwg.org/standards/450/version/2011-10-16,http://rs.tdwg.org/dwc/2010-05-23/terms/guides/xml/ 
http://www.tdwg.org/standards/450/version/2011-10-16,http://rs.tdwg.org/version/dwc/2011-10-16
http://www.tdwg.org/standards/450/version/2009-12-07,http://rs.tdwg.org/dwc/2009-12-07/terms/guides/text/
http://www.tdwg.org/standards/450/version/2009-12-07,http://rs.tdwg.org/dwc/2010-05-23/terms/guides/xml/ 
http://www.tdwg.org/standards/450/version/2009-12-07,http://rs.tdwg.org/version/dwc/2009-12-07
http://www.tdwg.org/standards/450/version/2009-10-09,http://rs.tdwg.org/version/dwc/2009-09-21
http://www.tdwg.org/standards/638/version/2013-10-28,http://rs.tdwg.org/version/ac/2013-10-28
http://www.tdwg.org/standards/638/version/2013-10-28,http://rs.tdwg.org/ac/doc/termlist/2013-10-23
http://www.tdwg.org/standards/638/version/2013-10-28,http://rs.tdwg.org/ac/doc/structure/2013-10-23
http://www.tdwg.org/standards/638/version/2013-10-28,http://rs.tdwg.org/ac/doc/introduction/2013-10-23
http://www.tdwg.org/standards/638/version/2013-10-28,http://rs.tdwg.org/ac/doc/guide/2013-10-15
http://www.tdwg.org/standards/638/version/2020-01-27,http://rs.tdwg.org/version/ac/2020-01-27
http://www.tdwg.org/standards/638/version/2020-01-27,http://rs.tdwg.org/ac/doc/termlist/2020-01-27
http://www.tdwg.org/standards/638/version/2020-01-27,http://rs.tdwg.org/ac/doc/structure/2020-01-27
http://www.tdwg.org/standards/638/version/2020-01-27,http://rs.tdwg.org/ac/doc/introduction/2013-10-23
http://www.tdwg.org/standards/638/version/2020-01-27,http://rs.tdwg.org/ac/doc/guide/2013-10-15
http://www.tdwg.org/standards/450/version/2017-10-06,http://rs.tdwg.org/dwc/terms/guides/text/2014-11-08
http://www.tdwg.org/standards/450/version/2017-10-06,http://rs.tdwg.org/dwc/terms/guides/xml/2014-11-08
http://www.tdwg.org/standards/450/version/2017-10-06,http://rs.tdwg.org/dwc/terms/simple/2014-11-08
http://www.tdwg.org/standards/450/version/2017-10-06,http://rs.tdwg.org/version/dwc/2017-10-06
http://www.tdwg.org/standards/450/version/2017-10-06,http://rs.tdwg.org/dwc/terms/guides/rdf/2015-06-02
http://www.tdwg.org/standards/450/version/2018-09-06,http://rs.tdwg.org/dwc/terms/guides/text/2014-11-08
http://www.tdwg.org/standards/450/version/2018-09-06,http://rs.tdwg.org/dwc/terms/guides/xml/2014-11-08
