rdf_type,replacing_term,replacing_term_localName,replacing_term_namespace,replaced_term,replaced_term_namespace,replaced_term_localName
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/dwcore/LifeStage,LifeStage,http://rs.tdwg.org/dwc/dwcore/,http://digir.net/schema/conceptual/darwin/2003/1.0/AgeClass,http://digir.net/schema/conceptual/darwin/2003/1.0/,AgeClass
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://www.iobis.org/obis/Lifestage,Lifestage,http://www.iobis.org/obis/,http://digir.net/schema/conceptual/darwin/2003/1.0/AgeClass,http://digir.net/schema/conceptual/darwin/2003/1.0/,AgeClass
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/dwcore/BasisOfRecord,BasisOfRecord,http://rs.tdwg.org/dwc/dwcore/,http://digir.net/schema/conceptual/darwin/2003/1.0/BasisOfRecord,http://digir.net/schema/conceptual/darwin/2003/1.0/,BasisOfRecord
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://digir.net/schema/conceptual/darwin/2003/1.0/CatalogNumberText,CatalogNumberText,http://digir.net/schema/conceptual/darwin/2003/1.0/,http://digir.net/schema/conceptual/darwin/2003/1.0/CatalogNumber,http://digir.net/schema/conceptual/darwin/2003/1.0/,CatalogNumber
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/curatorial/CatalogNumberNumeric,CatalogNumberNumeric,http://rs.tdwg.org/dwc/curatorial/,http://digir.net/schema/conceptual/darwin/2003/1.0/CatalogNumberNumeric,http://digir.net/schema/conceptual/darwin/2003/1.0/,CatalogNumberNumeric
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/CatalogNumberNumeric,CatalogNumberNumeric,http://rs.tdwg.org/dwc/terms/,http://digir.net/schema/conceptual/darwin/2003/1.0/CatalogNumberNumeric,http://digir.net/schema/conceptual/darwin/2003/1.0/,CatalogNumberNumeric
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/dwcore/CatalogNumber,CatalogNumber,http://rs.tdwg.org/dwc/dwcore/,http://digir.net/schema/conceptual/darwin/2003/1.0/CatalogNumberText,http://digir.net/schema/conceptual/darwin/2003/1.0/,CatalogNumberText
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/dwcore/Class,Class,http://rs.tdwg.org/dwc/dwcore/,http://digir.net/schema/conceptual/darwin/2003/1.0/Class,http://digir.net/schema/conceptual/darwin/2003/1.0/,Class
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/dwcore/CollectionCode,CollectionCode,http://rs.tdwg.org/dwc/dwcore/,http://digir.net/schema/conceptual/darwin/2003/1.0/CollectionCode,http://digir.net/schema/conceptual/darwin/2003/1.0/,CollectionCode
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/dwcore/Collector,Collector,http://rs.tdwg.org/dwc/dwcore/,http://digir.net/schema/conceptual/darwin/2003/1.0/Collector,http://digir.net/schema/conceptual/darwin/2003/1.0/,Collector
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/curatorial/CollectorNumber,CollectorNumber,http://rs.tdwg.org/dwc/curatorial/,http://digir.net/schema/conceptual/darwin/2003/1.0/CollectorNumber,http://digir.net/schema/conceptual/darwin/2003/1.0/,CollectorNumber
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/dwcore/Continent,Continent,http://rs.tdwg.org/dwc/dwcore/,http://digir.net/schema/conceptual/darwin/2003/1.0/ContinentOcean,http://digir.net/schema/conceptual/darwin/2003/1.0/,ContinentOcean
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/dwcore/WaterBody,WaterBody,http://rs.tdwg.org/dwc/dwcore/,http://digir.net/schema/conceptual/darwin/2003/1.0/ContinentOcean,http://digir.net/schema/conceptual/darwin/2003/1.0/,ContinentOcean
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://digir.net/schema/conceptual/darwin/2003/1.0/CoordinateUncertaintyInMeters,CoordinateUncertaintyInMeters,http://digir.net/schema/conceptual/darwin/2003/1.0/,http://digir.net/schema/conceptual/darwin/2003/1.0/CoordinatePrecision,http://digir.net/schema/conceptual/darwin/2003/1.0/,CoordinatePrecision
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/coordinatePrecision,coordinatePrecision,http://rs.tdwg.org/dwc/terms/,http://digir.net/schema/conceptual/darwin/2003/1.0/CoordinatePrecision,http://digir.net/schema/conceptual/darwin/2003/1.0/,CoordinatePrecision
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/geospatial/CoordinateUncertaintyInMeters,CoordinateUncertaintyInMeters,http://rs.tdwg.org/dwc/geospatial/,http://digir.net/schema/conceptual/darwin/2003/1.0/CoordinateUncertaintyInMeters,http://digir.net/schema/conceptual/darwin/2003/1.0/,CoordinateUncertaintyInMeters
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/dwcore/Country,Country,http://rs.tdwg.org/dwc/dwcore/,http://digir.net/schema/conceptual/darwin/2003/1.0/Country,http://digir.net/schema/conceptual/darwin/2003/1.0/,Country
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/dwcore/County,County,http://rs.tdwg.org/dwc/dwcore/,http://digir.net/schema/conceptual/darwin/2003/1.0/County,http://digir.net/schema/conceptual/darwin/2003/1.0/,County
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/dwcore/DateLastModified,DateLastModified,http://rs.tdwg.org/dwc/dwcore/,http://digir.net/schema/conceptual/darwin/2003/1.0/DateLastModified,http://digir.net/schema/conceptual/darwin/2003/1.0/,DateLastModified
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/dwcore/EarliestDateCollected,EarliestDateCollected,http://rs.tdwg.org/dwc/dwcore/,http://digir.net/schema/conceptual/darwin/2003/1.0/DayCollected,http://digir.net/schema/conceptual/darwin/2003/1.0/,DayCollected
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/dwcore/LatestDateCollected,LatestDateCollected,http://rs.tdwg.org/dwc/dwcore/,http://digir.net/schema/conceptual/darwin/2003/1.0/DayCollected,http://digir.net/schema/conceptual/darwin/2003/1.0/,DayCollected
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/day,day,http://rs.tdwg.org/dwc/terms/,http://digir.net/schema/conceptual/darwin/2003/1.0/DayCollected,http://digir.net/schema/conceptual/darwin/2003/1.0/,DayCollected
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/curatorial/DateIdentified,DateIdentified,http://rs.tdwg.org/dwc/curatorial/,http://digir.net/schema/conceptual/darwin/2003/1.0/DayIdentified,http://digir.net/schema/conceptual/darwin/2003/1.0/,DayIdentified
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/geospatial/DecimalLatitude,DecimalLatitude,http://rs.tdwg.org/dwc/geospatial/,http://digir.net/schema/conceptual/darwin/2003/1.0/DecimalLatitude,http://digir.net/schema/conceptual/darwin/2003/1.0/,DecimalLatitude
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/geospatial/DecimalLongitude,DecimalLongitude,http://rs.tdwg.org/dwc/geospatial/,http://digir.net/schema/conceptual/darwin/2003/1.0/DecimalLongitude,http://digir.net/schema/conceptual/darwin/2003/1.0/,DecimalLongitude
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/dwcore/Family,Family,http://rs.tdwg.org/dwc/dwcore/,http://digir.net/schema/conceptual/darwin/2003/1.0/Family,http://digir.net/schema/conceptual/darwin/2003/1.0/,Family
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/curatorial/FieldNotes,FieldNotes,http://rs.tdwg.org/dwc/curatorial/,http://digir.net/schema/conceptual/darwin/2003/1.0/FieldNotes,http://digir.net/schema/conceptual/darwin/2003/1.0/,FieldNotes
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/curatorial/FieldNumber,FieldNumber,http://rs.tdwg.org/dwc/curatorial/,http://digir.net/schema/conceptual/darwin/2003/1.0/FieldNumber,http://digir.net/schema/conceptual/darwin/2003/1.0/,FieldNumber
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/curatorial/GenBankNumber,GenBankNumber,http://rs.tdwg.org/dwc/curatorial/,http://digir.net/schema/conceptual/darwin/2003/1.0/GenBankNum,http://digir.net/schema/conceptual/darwin/2003/1.0/,GenBankNum
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/dwcore/Genus,Genus,http://rs.tdwg.org/dwc/dwcore/,http://digir.net/schema/conceptual/darwin/2003/1.0/Genus,http://digir.net/schema/conceptual/darwin/2003/1.0/,Genus
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/geospatial/GeoreferenceProtocol,GeoreferenceProtocol,http://rs.tdwg.org/dwc/geospatial/,http://digir.net/schema/conceptual/darwin/2003/1.0/GeorefMethod,http://digir.net/schema/conceptual/darwin/2003/1.0/,GeorefMethod
