term_localName,label,skos_broader,skos_inScheme,skos_exactMatch,controlled_value_string,definition,usage,notes,examples,dcam_memberOf,type
m,media types and physical media concept scheme,,,,,concept scheme for IANA media types and various physical media items,,,,,http://www.w3.org/2004/02/skos/core#ConceptScheme
e,file extensions concept scheme,,,,,concept scheme based on conventional file extensions for media types,,,,,http://www.w3.org/2004/02/skos/core#ConceptScheme
m001,application,,m,,application,media type for application,,,,,http://www.w3.org/2004/02/skos/core#Concept
m002,audio,,m,,audio,media type for audio,,,,,http://www.w3.org/2004/02/skos/core#Concept
m003,image,,m,,image,media type for image,,,,,http://www.w3.org/2004/02/skos/core#Concept
m004,model,,m,,model,media type for model,,,,,http://www.w3.org/2004/02/skos/core#Concept
m005,text,,m,,text,media type for text,,,,,http://www.w3.org/2004/02/skos/core#Concept
m006,video,,m,,video,media type for video,,,,,http://www.w3.org/2004/02/skos/core#Concept
m007,PNG,m003,m,,image/png,media subtype for portable network graphics images,,,,http://purl.org/dc/terms/IMT,http://www.w3.org/2004/02/skos/core#Concept
m008,JPEG,m003,m,,image/jpeg,media subtype for JPEG images,,,,http://purl.org/dc/terms/IMT,http://www.w3.org/2004/02/skos/core#Concept
m009,BMP,m003,m,,image/bmp,media subtype for bitmap images,,,,http://purl.org/dc/terms/IMT,http://www.w3.org/2004/02/skos/core#Concept
m010,GIF,m003,m,,image/gif,media subtype for GIF images,,,,http://purl.org/dc/terms/IMT,http://www.w3.org/2004/02/skos/core#Concept
m011,TIFF,m003,m,,image/tiff,media subtype for TIFF images,,,,http://purl.org/dc/terms/IMT,http://www.w3.org/2004/02/skos/core#Concept
m012,MP4 video,m006,m,,video/mp4,media subtype for MP4 videos,,,,http://purl.org/dc/terms/IMT,http://www.w3.org/2004/02/skos/core#Concept
m013,MPEG,m006,m,,video/mpeg,media subtype for MPEG videos,,,,http://purl.org/dc/terms/IMT,http://www.w3.org/2004/02/skos/core#Concept
m014,QuickTime,m006,m,,video/quicktime,media subtype for QuickTime videos,,,,http://purl.org/dc/terms/IMT,http://www.w3.org/2004/02/skos/core#Concept
m015,MP4 audio,m002,m,,audio/mp4,media subtype for MP4 audio,,,,http://purl.org/dc/terms/IMT,http://www.w3.org/2004/02/skos/core#Concept
m016,MP3,m002,m,,audio/mpeg,media subtype for MP3 audio,,,,http://purl.org/dc/terms/IMT,http://www.w3.org/2004/02/skos/core#Concept
m017,X3D VRML,m004,m,,model/x3d-vrml,media subtype for X3D VRML models,,,,http://purl.org/dc/terms/IMT,http://www.w3.org/2004/02/skos/core#Concept
m018,PDF,m001,m,,application/pdf,media subtype for PDF documents,,,,http://purl.org/dc/terms/IMT,http://www.w3.org/2004/02/skos/core#Concept
m019,plain text,m005,m,,text/plain,media subtype for plain text,,,,http://purl.org/dc/terms/IMT,http://www.w3.org/2004/02/skos/core#Concept
m020,Word (pre-2003) document,m001,m,,application/msword,media subtype for Microsoft Word (2003 and before) documents,,,,http://purl.org/dc/terms/IMT,http://www.w3.org/2004/02/skos/core#Concept
m021,Word (post-2007) document,m001,m,,application/vnd.openxmlformats-officedocument.wordprocessingml.document,media subtype for Microsoft Word (2007 and after) documents,,,,http://purl.org/dc/terms/IMT,http://www.w3.org/2004/02/skos/core#Concept
m022,Digital Negative,m003,m,,image/x-adobe-dng,media subtype for Digital Negative images,,,,http://purl.org/dc/terms/IMT,http://www.w3.org/2004/02/skos/core#Concept
m023,CR2,m003,m,,image/x-canon-cr2,media subtype for Canon Raw images,,,,http://purl.org/dc/terms/IMT,http://www.w3.org/2004/02/skos/core#Concept
m024,JPEG 2000,m003,m,,image/jp2,media subtype for JPEG 2000 images,,,,http://purl.org/dc/terms/IMT,http://www.w3.org/2004/02/skos/core#Concept
m025,WAVE,m002,m,,audio/vnd.wave,media subtype for WAVE audio,,,,http://purl.org/dc/terms/IMT,http://www.w3.org/2004/02/skos/core#Concept
m026,Nikon NEF Raw,m003,m,,image/x-nikon-nef,media subtype for Nikon NEF Raw images,,,,http://purl.org/dc/terms/IMT,http://www.w3.org/2004/02/skos/core#Concept
m027,M4V,m006,m,,video/x-m4v,media subtype for Apple M4V videos,,,,http://purl.org/dc/terms/IMT,http://www.w3.org/2004/02/skos/core#Concept
m028,3GPP,m006,m,,‎video/3gpp,media subtype for 3GPP video,,,,http://purl.org/dc/terms/IMT,http://www.w3.org/2004/02/skos/core#Concept
m029,AVI,m006,m,,video/vnd.avi,media subtype for AVI video,,,,http://purl.org/dc/terms/IMT,http://www.w3.org/2004/02/skos/core#Concept
m030,AMR,m002,m,,audio/AMR,media subtype for Adaptive Multi-Rate audio,,,,http://purl.org/dc/terms/IMT,http://www.w3.org/2004/02/skos/core#Concept
m031,AIFF,m002,m,,audio/x-aiff,media subtype for Audio Interchange File Format audio,,,,http://purl.org/dc/terms/IMT,http://www.w3.org/2004/02/skos/core#Concept
m032,OGG audio,m002,m,,audio/ogg,media subtype for OGG audio,,,,http://purl.org/dc/terms/IMT,http://www.w3.org/2004/02/skos/core#Concept
m033,OGG video,m006,m,,video/ogg,media subtype for OGG video,,,,http://purl.org/dc/terms/IMT,http://www.w3.org/2004/02/skos/core#Concept
m034,OGG multiplex,m001,m,,application/ogg,media subtype for OGG multiplex,,,,http://purl.org/dc/terms/IMT,http://www.w3.org/2004/02/skos/core#Concept
m035,Kodak Photo CD image,m003,m,,image/x-photo-cd,media subtype for Kodak Photo CD image,,,,http://purl.org/dc/terms/IMT,http://www.w3.org/2004/02/skos/core#Concept
