version,list
http://rs.tdwg.org/dwc/version/terms/2008-11-19,http://rs.tdwg.org/dwc/terms/
http://rs.tdwg.org/dwc/version/terms/2009-01-18,http://rs.tdwg.org/dwc/terms/
http://rs.tdwg.org/dwc/version/terms/2009-01-21,http://rs.tdwg.org/dwc/terms/
http://rs.tdwg.org/dwc/version/terms/2009-01-23,http://rs.tdwg.org/dwc/terms/
http://rs.tdwg.org/dwc/version/terms/2009-04-24,http://rs.tdwg.org/dwc/terms/
http://rs.tdwg.org/dwc/version/terms/2009-04-29,http://rs.tdwg.org/dwc/terms/
http://rs.tdwg.org/dwc/version/terms/2009-05-18,http://rs.tdwg.org/dwc/terms/
http://rs.tdwg.org/dwc/version/terms/2009-07-06,http://rs.tdwg.org/dwc/terms/
http://rs.tdwg.org/dwc/version/terms/2009-08-24,http://rs.tdwg.org/dwc/terms/
http://rs.tdwg.org/dwc/version/terms/2009-09-11,http://rs.tdwg.org/dwc/terms/
http://rs.tdwg.org/dwc/version/terms/2009-09-17,http://rs.tdwg.org/dwc/terms/
http://rs.tdwg.org/dwc/version/terms/2009-09-21,http://rs.tdwg.org/dwc/terms/
http://rs.tdwg.org/dwc/version/terms/2009-12-07,http://rs.tdwg.org/dwc/terms/
http://rs.tdwg.org/dwc/version/terms/2011-10-16,http://rs.tdwg.org/dwc/terms/
http://rs.tdwg.org/dwc/version/terms/2013-03-28,http://rs.tdwg.org/dwc/terms/
http://rs.tdwg.org/dwc/version/terms/2013-05-25,http://rs.tdwg.org/dwc/terms/
http://rs.tdwg.org/dwc/version/terms/2014-10-23,http://rs.tdwg.org/dwc/terms/
http://rs.tdwg.org/dwc/version/terms/2014-12-23,http://rs.tdwg.org/dwc/terms/
http://rs.tdwg.org/dwc/version/terms/attributes/2009-01-25,http://rs.tdwg.org/dwc/terms/attributes/
http://rs.tdwg.org/dwc/version/terms/attributes/2009-08-24,http://rs.tdwg.org/dwc/terms/attributes/
http://rs.tdwg.org/dwc/version/terms/attributes/2017-06-06,http://rs.tdwg.org/dwc/terms/attributes/
http://rs.tdwg.org/dwc/version/terms/attributes/2017-09-23,http://rs.tdwg.org/dwc/terms/attributes/
http://rs.tdwg.org/dwc/version/terms/attributes/2017-09-30,http://rs.tdwg.org/dwc/terms/attributes/
http://rs.tdwg.org/dwc/version/dwctype/2008-11-19,http://rs.tdwg.org/dwc/dwctype/
http://rs.tdwg.org/dwc/version/dwctype/2009-01-23,http://rs.tdwg.org/dwc/dwctype/
http://rs.tdwg.org/dwc/version/dwctype/2009-04-24,http://rs.tdwg.org/dwc/dwctype/
http://rs.tdwg.org/dwc/version/dwctype/2011-10-16,http://rs.tdwg.org/dwc/dwctype/
http://rs.tdwg.org/dwc/version/dwctype/2013-06-24,http://rs.tdwg.org/dwc/dwctype/
http://rs.tdwg.org/dwc/version/iri/2015-03-27,http://rs.tdwg.org/dwc/iri/
http://rs.tdwg.org/dwc/version/curatorial/2007-04-17,http://rs.tdwg.org/dwc/curatorial/
http://rs.tdwg.org/dwc/version/dwcore/2007-04-17,http://rs.tdwg.org/dwc/dwcore/
http://rs.tdwg.org/dwc/version/geospatial/2007-04-17,http://rs.tdwg.org/dwc/geospatial/
http://rs.tdwg.org/ac/version/terms/2013-10-28,http://rs.tdwg.org/ac/terms/
http://rs.tdwg.org/dwc/version/dc/2015-03-27,http://rs.tdwg.org/dwc/dc/
http://rs.tdwg.org/dwc/version/dcterms/2009-10-09,http://rs.tdwg.org/dwc/dcterms/
http://rs.tdwg.org/dwc/version/dcterms/2014-10-16,http://rs.tdwg.org/dwc/dcterms/
http://rs.tdwg.org/dwc/version/dcterms/2014-11-06,http://rs.tdwg.org/dwc/dcterms/
http://rs.tdwg.org/dwc/version/dcterms/2015-03-07,http://rs.tdwg.org/dwc/dcterms/
http://rs.tdwg.org/dwc/version/obsolete/2017-09-30,http://rs.tdwg.org/dwc/obsolete/
http://rs.tdwg.org/dwc/version/terms/attributes/2017-10-10,http://rs.tdwg.org/dwc/terms/attributes/
http://rs.tdwg.org/version/decisions/2017-10-10,http://rs.tdwg.org/decisions/
http://rs.tdwg.org/ac/version/Iptc4xmpExt/2013-10-28,http://rs.tdwg.org/ac/Iptc4xmpExt/
