"identifier","context","text"
"Drawing:label","Label for Drawing http://rs.tdwg.org/dwc/terms/Drawing","Рисунок"
"Drawing:definition","Definition for Drawing http://rs.tdwg.org/dwc/terms/Drawing",""
"Painting:label","Label for Painting http://rs.tdwg.org/dwc/terms/Painting","Картина"
"Painting:definition","Definition for Painting http://rs.tdwg.org/dwc/terms/Painting",""
"Logo:label","Label for Logo http://rs.tdwg.org/dwc/terms/Logo","Лого"
"Logo:definition","Definition for Logo http://rs.tdwg.org/dwc/terms/Logo",""
"Icon:label","Label for Icon http://rs.tdwg.org/dwc/terms/Icon","Иконка"
"Icon:definition","Definition for Icon http://rs.tdwg.org/dwc/terms/Icon",""
"Illustration:label","Label for Illustration http://rs.tdwg.org/dwc/terms/Illustration","Иллюстрация"
"Illustration:definition","Definition for Illustration http://rs.tdwg.org/dwc/terms/Illustration",""
"Graphic:label","Label for Graphic http://rs.tdwg.org/dwc/terms/Graphic","Графика"
"Graphic:definition","Definition for Graphic http://rs.tdwg.org/dwc/terms/Graphic",""
"Photograph:label","Label for Photograph http://rs.tdwg.org/dwc/terms/Photograph","Фотография"
"Photograph:definition","Definition for Photograph http://rs.tdwg.org/dwc/terms/Photograph",""
"Animation:label","Label for Animation http://rs.tdwg.org/dwc/terms/Animation","Анимация"
"Animation:definition","Definition for Animation http://rs.tdwg.org/dwc/terms/Animation",""
"Film:label","Label for Film http://rs.tdwg.org/dwc/terms/Film","Фильм"
"Film:definition","Definition for Film http://rs.tdwg.org/dwc/terms/Film",""
"Film:notes","Notes for Film http://rs.tdwg.org/dwc/terms/Film",""
"SlideShow:label","Label for Slide Show http://rs.tdwg.org/dwc/terms/SlideShow","Слайд шоу"
"SlideShow:definition","Definition for Slide Show http://rs.tdwg.org/dwc/terms/SlideShow",""
"DesignPlan:label","Label for Design Plan http://rs.tdwg.org/dwc/terms/DesignPlan","Дизайн проект"
"DesignPlan:definition","Definition for Design Plan http://rs.tdwg.org/dwc/terms/DesignPlan",""
"Diagram:label","Label for Diagram http://rs.tdwg.org/dwc/terms/Diagram","Диаграмма"
"Diagram:examples","Examples for Diagram http://rs.tdwg.org/dwc/terms/Diagram",""
"Diagram:definition","Definition for Diagram http://rs.tdwg.org/dwc/terms/Diagram",""
"Map:label","Label for Map http://rs.tdwg.org/dwc/terms/Map","Карта"
"Map:definition","Definition for Map http://rs.tdwg.org/dwc/terms/Map",""
"MusicalNotation:label","Label for Musical Notation http://rs.tdwg.org/dwc/terms/MusicalNotation","Нотная запись"
"MusicalNotation:definition","Definition for Musical Notation http://rs.tdwg.org/dwc/terms/MusicalNotation",""
"IdentificationKey:label","Label for Identification Key http://rs.tdwg.org/dwc/terms/IdentificationKey","Ключ для определения"
"IdentificationKey:definition","Definition for Identification Key http://rs.tdwg.org/dwc/terms/IdentificationKey",""
"ScannedText:label","Label for Scanned Text http://rs.tdwg.org/dwc/terms/ScannedText","Отсканированный текст"
"ScannedText:definition","Definition for Scanned Text http://rs.tdwg.org/dwc/terms/ScannedText",""
"RecordedText:label","Label for Recorded Text http://rs.tdwg.org/dwc/terms/RecordedText","Записанный из звука текст"
"RecordedText:definition","Definition for Recorded Text http://rs.tdwg.org/dwc/terms/RecordedText",""
"RecordedOrganism:label","Label for Recorded Organism http://rs.tdwg.org/dwc/terms/RecordedOrganism","Записанный организм"
"RecordedOrganism:definition","Definition for Recorded Organism http://rs.tdwg.org/dwc/terms/RecordedOrganism",""
"TaxonPage:label","Label for Taxon Page http://rs.tdwg.org/dwc/terms/TaxonPage","Страница таксона"
"TaxonPage:definition","Definition for Taxon Page http://rs.tdwg.org/dwc/terms/TaxonPage",""
"MultimediaLearningObject:label","Label for Multimedia Learning Object http://rs.tdwg.org/dwc/terms/MultimediaLearningObject","Образовательный мультимедиа-ресурс"
"MultimediaLearningObject:definition","Definition for Multimedia Learning Object http://rs.tdwg.org/dwc/terms/MultimediaLearningObject",""
"VirtualRealityEnvironment:label","Label for Virtual Reality Environment http://rs.tdwg.org/dwc/terms/VirtualRealityEnvironment","Среда виртуального пространства"
"VirtualRealityEnvironment:definition","Definition for Virtual Reality Environment http://rs.tdwg.org/dwc/terms/VirtualRealityEnvironment",""
"GlossaryPage:label","Label for Glossary Page http://rs.tdwg.org/dwc/terms/GlossaryPage","Страница словаря"
"GlossaryPage:definition","Definition for Glossary Page http://rs.tdwg.org/dwc/terms/GlossaryPage",""
