replacing_version,replaced_version_localName
http://rs.tdwg.org/dwc/iri/version/establishmentMeans-2020-10-13,establishmentMeans-2015-03-27
http://rs.tdwg.org/dwc/iri/version/establishmentMeans-2021-03-29,establishmentMeans-2020-10-13
http://rs.tdwg.org/dwc/iri/version/pathway-2021-03-29,pathway-2020-10-13
http://rs.tdwg.org/dwc/iri/version/degreeOfEstablishment-2021-03-29,degreeOfEstablishment-2020-10-13
http://rs.tdwg.org/dwc/iri/version/lifeStage-2021-07-15,lifeStage-2015-03-27
http://rs.tdwg.org/dwc/iri/version/samplingProtocol-2021-07-15,samplingProtocol-2015-03-27
http://rs.tdwg.org/dwc/iri/version/footprintSRS-2021-07-15,footprintSRS-2015-03-27
http://rs.tdwg.org/dwc/iri/version/georeferenceVerificationStatus-2021-07-15,georeferenceVerificationStatus-2015-03-27
http://rs.tdwg.org/dwc/iri/version/identifiedBy-2023-06-28,identifiedBy-2015-03-27
http://rs.tdwg.org/dwc/iri/version/recordedBy-2023-06-28,recordedBy-2015-03-27
http://rs.tdwg.org/dwc/iri/version/georeferencedBy-2023-06-28,georeferencedBy-2015-03-27
http://rs.tdwg.org/dwc/iri/version/behavior-2023-06-28,behavior-2015-03-27
http://rs.tdwg.org/dwc/iri/version/degreeOfEstablishment-2023-06-28,degreeOfEstablishment-2021-03-29
http://rs.tdwg.org/dwc/iri/version/disposition-2023-06-28,disposition-2015-03-27
http://rs.tdwg.org/dwc/iri/version/establishmentMeans-2023-06-28,establishmentMeans-2021-03-29
http://rs.tdwg.org/dwc/iri/version/fieldNotes-2023-06-28,fieldNotes-2015-03-27
http://rs.tdwg.org/dwc/iri/version/fieldNumber-2023-06-28,fieldNumber-2015-03-27
http://rs.tdwg.org/dwc/iri/version/footprintSRS-2023-06-28,footprintSRS-2021-07-15
http://rs.tdwg.org/dwc/iri/version/footprintWKT-2023-06-28,footprintWKT-2015-03-27
http://rs.tdwg.org/dwc/iri/version/geodeticDatum-2023-06-28,geodeticDatum-2015-03-27
http://rs.tdwg.org/dwc/iri/version/georeferenceSources-2023-06-28,georeferenceSources-2015-03-27
http://rs.tdwg.org/dwc/iri/version/georeferenceVerificationStatus-2023-06-28,georeferenceVerificationStatus-2021-07-15
http://rs.tdwg.org/dwc/iri/version/habitat-2023-06-28,habitat-2015-03-27
http://rs.tdwg.org/dwc/iri/version/identificationQualifier-2023-06-28,identificationQualifier-2015-03-27
http://rs.tdwg.org/dwc/iri/version/lifeStage-2023-06-28,lifeStage-2021-07-15
http://rs.tdwg.org/dwc/iri/version/locationAccordingTo-2023-06-28,locationAccordingTo-2015-03-27
http://rs.tdwg.org/dwc/iri/version/measurementDeterminedBy-2023-06-28,measurementDeterminedBy-2015-03-27
http://rs.tdwg.org/dwc/iri/version/measurementUnit-2023-06-28,measurementUnit-2015-03-27
http://rs.tdwg.org/dwc/iri/version/occurrenceStatus-2023-06-28,occurrenceStatus-2015-03-27
http://rs.tdwg.org/dwc/iri/version/pathway-2023-06-28,pathway-2021-03-29
http://rs.tdwg.org/dwc/iri/version/recordNumber-2023-06-28,recordNumber-2015-03-27
http://rs.tdwg.org/dwc/iri/version/reproductiveCondition-2023-06-28,reproductiveCondition-2015-03-27
http://rs.tdwg.org/dwc/iri/version/sampleSizeUnit-2023-06-28,sampleSizeUnit-2015-03-27
http://rs.tdwg.org/dwc/iri/version/samplingProtocol-2023-06-28,samplingProtocol-2021-07-15
http://rs.tdwg.org/dwc/iri/version/sex-2023-06-28,sex-2015-03-27
http://rs.tdwg.org/dwc/iri/version/verbatimCoordinateSystem-2023-06-28,verbatimCoordinateSystem-2015-03-27
http://rs.tdwg.org/dwc/iri/version/verbatimSRS-2023-06-28,verbatimSRS-2015-03-27
http://rs.tdwg.org/dwc/iri/version/latestGeochronologicalEra-2023-09-13,latestGeochronologicalEra-2015-03-27
http://rs.tdwg.org/dwc/iri/version/earliestGeochronologicalEra-2023-09-13,earliestGeochronologicalEra-2015-03-27
http://rs.tdwg.org/dwc/iri/version/vitality-2023-09-13,vitality-2023-06-28
http://rs.tdwg.org/dwc/iri/version/identifiedBy-2025-06-12,identifiedBy-2023-06-28
http://rs.tdwg.org/dwc/iri/version/geodeticDatum-2025-06-12,geodeticDatum-2023-06-28
http://rs.tdwg.org/dwc/iri/version/verbatimSRS-2025-06-12,verbatimSRS-2023-06-28
http://rs.tdwg.org/dwc/iri/version/footprintSRS-2025-06-12,footprintSRS-2023-06-28
http://rs.tdwg.org/dwc/iri/version/behavior-2025-07-10,behavior-2023-06-28
http://rs.tdwg.org/dwc/iri/version/caste-2025-07-10,caste-2023-06-28
http://rs.tdwg.org/dwc/iri/version/dataGeneralizations-2025-07-10,dataGeneralizations-2015-03-27
http://rs.tdwg.org/dwc/iri/version/degreeOfEstablishment-2025-07-10,degreeOfEstablishment-2023-06-28
http://rs.tdwg.org/dwc/iri/version/disposition-2025-07-10,disposition-2023-06-28
http://rs.tdwg.org/dwc/iri/version/establishmentMeans-2025-07-10,establishmentMeans-2023-06-28
http://rs.tdwg.org/dwc/iri/version/eventType-2025-07-10,eventType-2023-06-28
http://rs.tdwg.org/dwc/iri/version/footprintWKT-2025-07-10,footprintWKT-2023-06-28
http://rs.tdwg.org/dwc/iri/version/fundingAttribution-2025-07-10,fundingAttribution-2025-06-12
http://rs.tdwg.org/dwc/iri/version/georeferencedBy-2025-07-10,georeferencedBy-2023-06-28
http://rs.tdwg.org/dwc/iri/version/georeferenceProtocol-2025-07-10,georeferenceProtocol-2015-03-27
http://rs.tdwg.org/dwc/iri/version/georeferenceSources-2025-07-10,georeferenceSources-2023-06-28
http://rs.tdwg.org/dwc/iri/version/georeferenceVerificationStatus-2025-07-10,georeferenceVerificationStatus-2023-06-28
http://rs.tdwg.org/dwc/iri/version/habitat-2025-07-10,habitat-2023-06-28
http://rs.tdwg.org/dwc/iri/version/identificationQualifier-2025-07-10,identificationQualifier-2023-06-28
