term_localName,label_en,label_cs,label_de,label_es,label_fr,label_ko,label_nl,label_ru,label_zh-Hans,label_zh-Hant,rdfs_comment_en,rdfs_comment_cs,rdfs_comment_de,rdfs_comment_es,rdfs_comment_fr,rdfs_comment_ko,rdfs_comment_nl,rdfs_comment_ru,rdfs_comment_zh-Hans,rdfs_comment_zh-Hant,dcterms_description_en,dcterms_description_cs,dcterms_description_de,dcterms_description_es,dcterms_description_fr,dcterms_description_ko,dcterms_description_nl,dcterms_description_ru,dcterms_description_zh-Hans,dcterms_description_zh-Hant,examples_en,examples_cs,examples_de,examples_es,examples_fr,examples_ko,examples_nl,examples_ru,examples_zh-Hans,examples_zh-Hant
absentTaxa,Absent Taxa,Chybějící taxony,,Taxones Ausentes,Taxon Absent,,,,,,A list (concatenated and separated) of taxa reported absent during the dwc:Event.,"Seznam (spojený a oddělený) taxonů, u nichž byla během dwc:Event zaznamenána nepřítomnost.",,Una lista (concatenada y separada) de taxones ausentes reportados durante el dwc:Event.,Une liste (concaténée et séparée) de taxons répertoriés comme absent pendant le dwc:Event.,,,,,,"Absences can be reported at any taxonomic level. Recommended best practice is to separate multiple values in a list with space vertical bar space ( | ). This term has an equivalent in the dwciri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value.","Absence lze hlásit na jakékoli taxonomické úrovni. Doporučeným postupem je oddělit více hodnot v seznamu mezerou svislou čarou mezerou ( | ). Tento termín má ekvivalent ve jmenném prostoru dwciri:, který jako hodnotu povoluje pouze IRI, zatímco tento termín povoluje jakoukoli řetězcovou literální hodnotu.",,"Ausencias pueden ser reportadas a cualquier nivel taxonómico. Buena práctica recomendada es usar múltiples valores en una lista separada por espacios y una barra vertical ( | ). El término tiene un equivalente en el namespace dwciri: que permite utilizar solo valores IRI, mientras que este término permite cualquier valor de string literal.","Les absences peuvent être signalées à n'importe quel niveau taxonomique. La pratique optimale recommandée est de séparer les différentes valeurs d'une liste par une barre verticale ( | ). Ce terme a un équivalent dans le dwciri: namespace qui n'autorise qu'un IRI comme valeur, alors que ce terme autorise n'importe quelle valeur sous forme de chaîne de caractères.",,,,,,,,,,,,,,,
abundanceCap,Abundance Cap,Horní hranice početnosti,,Límite de Abundancia,Plafond d'Abondance,,,,,,The reported maximum number of dwc:Organisms.,Uváděný maximální počet dwc:Organisms.,,El número máximo de dwc:Organismos reportados.,Le nombre maximum de dwc:Organisms répertorié.,,,,,,,,,,,,,,,,,,,,,,,,,
areNonTargetTaxaFullyReported,Are Non-target Taxa Fully Reported,Jsou necílové taxony plně hlášeny,,Son taxones no objetivos completamente reportados,Les Taxons non Ciblés sont-ils Entièrement Répertoriés,,,,,,"Every dwc:Organism that was outside of the target taxonomic scope (the combination of eco:targetTaxonomicScope and eco:excludedTaxonomicScope) and detected during the dwc:Event, and that was detectable using the given protocol (given in eco:protocolDescriptions and dwc:samplingProtocol), was reported.",,,"Se informó cada dwc:Organism que estaba fuera del alcance taxonómico objetivo (la combinación de eco:targetTaxonomicScope y eco:excludedTaxonomicScope) y que se detectó durante el dwc:Event, y que era detectable utilizando el protocolo dado (proporcionado en eco:protocolDescriptions y dwc:samplingProtocol).",,,,,,,"This term is meant to inform a user of the data whether there were non-target taxa that were detected, but left unreported. This term is only relevant if the dwc:Event used restricted search or open search methods and if a target taxonomic scope is declared. Taxonomic scope is based on the combination of eco:targetTaxonomicScope and eco:excludedTaxonomicScope. Within dwc:Events that used either a restricted search or an open search method and declared a taxonomic scope, if all dwc:Organisms that are not included within the target taxonomic scope and that were detected during the dwc:Event were reported, the value of this term should be 'true', otherwise the value of this term should be ‘false'.","Tento termín má uživatele údajů informovat o tom, zda byly zjištěny necílové taxony, které nebyly zaznamenány. Tento termín je relevantní pouze v případě, že dwc:Event použil metody omezeného vyhledávání nebo otevřeného vyhledávání a že je deklarován cílový taxonomický rozsah. Taxonomický rozsah je založen na kombinaci eco:targetTaxonomicScope a eco:excludedTaxonomicScope. V rámci dwc:Events, které použily metodu omezeného vyhledávání nebo otevřeného vyhledávání a deklarovaly taxonomický rozsah, pokud byly vykázány všechny dwc:Organisms, které nejsou zahrnuty v cílovém taxonomickém rozsahu a které byly zjištěny během dwc:Event, měla by být hodnota tohoto termínu ""true"", jinak by měla být hodnota tohoto termínu ""false"".",,"Este término está destinado a informar al usuario de los datos si hubo taxones no-objetivos que fueron detectados, pero se dejaron no reportados. Este término solo es relevante si el dwc:Evento usó métodos de búsquedas restringidas o abiertas y se declaró un alcance taxonómico. Alcance taxonómico está basado en la combinación de eco:alcanceObjetivoTaxonómico y eco:alcanceExcluidoTaxonómico. Dentro de los dwc:Eventos que se usó ya sea un método de búsquedas restringidas o de búsquedas abiertas y declarados dentro de un alcance taxonómico, si todos los dwc:Organismos que no fueron incluidos dentro del alcance taxonómico objetivo y que fueron detectados durante el dwc:Evento fueron reportados, el valor de este término debería ser 'verdadero', de otra forma el valor de este término debería ser 'falso'.","Ce terme a pour but d'indiquer à l'utilisateur des données si des taxons non visés ont été détectés, mais n'ont pas été signalés. Ce terme n'est pertinent que si le dwc:Event a utilisé des méthodes de recherche restreinte ou de recherche ouverte et si un champ taxonomique cible est déclaré. La portée taxonomique est basée sur la combinaison de eco:targetTaxonomicScope et eco:excludedTaxonomicScope. Dans les dwc:Events qui ont utilisé soit une méthode de recherche restreinte, soit une méthode de recherche ouverte et qui ont déclaré un champ taxonomique, si tous les dwc:Organisms qui ne sont pas inclus dans le champ taxonomique cible et qui ont été détectés pendant le dwc:Event ont été signalés, la valeur de ce terme devrait être « true », sinon la valeur de ce terme devrait être « false ».",,,,,,,,,,,,,,,
compilationSourceTypes,Compilation Source Types,Typy zdrojů pro kompilaci,,Tipos de Fuentes de Compilación,Types de Sources de la Compilation,,,,,,The types of data sources contributing to the compilation reported.,"Typy zdrojů dat, které se podílely na sestavování údajů.",,Los tipos de fuentes de datos que contribuyeron a la compilación reportada.,Les types de sources de données contribuant à la compilation présentée.,,,,,,"This term is only relevant if the dwc:Event is a compilation in which one or more types of data sources were used. Recommended best practice is to use a controlled vocabulary and separate multiple values in a list with space vertical bar space ( | ). This term has an equivalent in the dwciri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value.","Tento termín je relevantní pouze v případě, že dwc:Event je kompilace, při níž byl použit jeden nebo více typů zdrojů dat. Doporučeným osvědčeným postupem je používat řízený slovník a oddělovat více hodnot v seznamu mezerou svislou čarou mezerou ( | ). Tento termín má ekvivalent ve jmenném prostoru dwciri:, který jako hodnotu povoluje pouze IRI, zatímco tento termín povoluje jakoukoli řetězcovou literální hodnotu.",,,"Ce terme n'est pertinent que si le dwc:Event est une compilation dans laquelle un ou plusieurs types de sources de données ont été utilisés. La pratique optimale recommandée est d'utiliser un vocabulaire contrôlé et de séparer les différentes valeurs d'une liste par une barre verticale ( | ). Ce terme a un équivalent dans le dwciri: namespace qui n'autorise qu'un IRI comme valeur, alors que ce terme autorise n'importe quelle valeur sous forme de chaîne de caractères.",,,,,,,,,,,,,,,
compilationTypes,Compilation Types,Typy kompilací,,,Types de Compilation,,,,,,"A statement specifying whether data reported are derived from sampling events, ancillary data compiled from other sources, or a combination of both.","Prohlášení, které upřesňuje, zda jsou vykazované údaje odvozeny z odběrů vzorků, pomocných údajů sestavených z jiných zdrojů nebo z kombinace obojího.",,,"Une déclaration précisant si les données rapportées sont dérivées d'événements d'échantillonnage, de données auxiliaires compilées à partir d'autres sources, ou d'une combinaison des deux.",,,,,,"This term is only relevant if the dwc:Event is an inventory. Recommended best practice is to use a controlled vocabulary. Recommended best practice is to separate the values in a list with space vertical bar space (` | `). This term has an equivalent in the dwciri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value.","Tento termín je relevantní pouze v případě, že dwc:Event je inventář. Doporučeným osvědčeným postupem je použití řízeného slovníku. Doporučeným osvědčeným postupem je oddělovat hodnoty v seznamu mezerou svislou čarou mezerou (` | `). Tento termín má ekvivalent ve jmenném prostoru dwciri:, který jako hodnotu povoluje pouze IRI, zatímco tento termín povoluje jakoukoli řetězcovou literální hodnotu.",,,"Ce terme n'est pertinent que si le dwc:Event est un inventaire. La pratique optimale recommandée est d'utiliser un vocabulaire contrôlé. La pratique optimale recommandée est de séparer les valeurs d'une liste par une barre verticale (` | `). Ce terme a un équivalent dans le dwciri: namespace qui n'autorise qu'un IRI comme valeur, alors que ce terme autorise n'importe quelle valeur sous forme de chaîne de caractères.",,,,,,,,,,,,,,,
eventDurationUnit,Event Duration Unit,Jednotka trvání události,,,Unité de la Durée de l'Événement,,,,,,The units associated with the eco:eventDurationValue.,Jednotky spojené s eco:eventDurationValue.,,,Les unités associées à la eco:eventDurationValue.,,,,,,"Recommended best practice is to use a controlled vocabulary. This term has an equivalent in the dwciri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value.","Doporučeným osvědčeným postupem je používat řízený slovník. Tento termín má ekvivalent ve jmenném prostoru dwciri:, který jako hodnotu umožňuje pouze IRI, zatímco tento termín umožňuje jakoukoli řetězcovou literální hodnotu.",,,"La pratique optimale recommandée est d'utiliser un vocabulaire contrôlé. Ce terme a un équivalent dans le dwciri: namespace qui n'autorise qu'un IRI comme valeur, alors que ce terme autorise n'importe quelle valeur sous forme de chaîne de caractères.",,,,,,,,,,,,,,,
eventDurationValue,Event Duration Value,Hodnota trvání události,,,Valeur de la Durée de l'Événement,,,,,,The numeric value for the duration of the dwc:Event.,Číselná hodnota trvání dwc:Event.,,,La valeur numérique de la durée du dwc:Event.,,,,,,An eco:eventDurationValue must have a corresponding eco:eventDurationUnit.,Hodnota eco:eventDurationValue musí mít odpovídající eco:eventDurationUnit.,,,Une eco:eventDurationValue doit avoir une eco:eventDurationUnit correspondante.,,,,,,,,,,,,,,,
excludedDegreeOfEstablishmentScope,Excluded Degree of Establishment Scope,Vyloučený stupeň rozsahu zavedení,,,Degré d'Implantation Exclu du Champ d'Application,,,,,,The degrees of establishment of the dwc:Organisms explicitly excluded from sampling during the dwc:Event.,Stupně zavlečení dwc:Organisms výslovně vyloučených z odběru vzorků během dwc:Event.,,,Les degrés d’implantation des dwc:Organisms explicitement exclus de l'échantillonnage pendant le dwc:Event.,,,,,,"Recommended best practice is to use controlled value strings from the controlled vocabulary (http://rs.tdwg.org/dwcdoe/) for dwc:degreeOfEstablishment. For details, refer to https://doi.org/10.3897/biss.3.38084. Recommended best practice is to separate multiple values in a list with space vertical bar space ( | ). This term has an equivalent in the dwciri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value.","Doporučeným osvědčeným postupem je používat pro dwc:degreeOfEstablishment řetězce řízených hodnot z řízeného slovníku (http://rs.tdwg.org/dwcdoe/). Podrobnosti naleznete na https://doi.org/10.3897/biss.3.38084. Doporučeným osvědčeným postupem je oddělit více hodnot v seznamu mezerou svislou čarou mezerou ( | ). Tento termín má ekvivalent ve jmenném prostoru dwciri:, který umožňuje jako hodnotu pouze IRI, zatímco tento termín umožňuje jakoukoli řetězcovou literální hodnotu.",,,"La pratique optimale recommandée consiste à utiliser les chaînes de caractères du vocabulaire contrôlé correspondant (http://rs.tdwg.org/dwcdoe/) pour dwc:degreeOfEstablishment. Pour plus de détails, voir https://doi.org/10.3897/biss.3.38084. La pratique optimale recommandée est de séparer les valeurs d'une liste par une barre verticale ( | ). Ce terme a un équivalent dans le dwciri: namespace qui n'autorise qu'un IRI comme valeur, alors que ce terme autorise n'importe quelle valeur sous forme de chaîne de caractères.",,,,,,,,,,,,,,,
excludedGrowthFormScope,Excluded Growth Form Scope,Vyloučený růst rozsahu formy,,,Type de Croissance Exclu du Champ d'Application,,,,,,The growth forms or habits of the dwc:Organisms explicitly excluded from sampling during the dwc:Event.,"Růstové formy nebo zvyklosti dwc:Organisms, které jsou výslovně vyloučeny z odběru vzorků během dwc:Event.",,,Les types de croissance ou les habitudes des dwc:Organisms explicitement exclus de l'échantillonnage pendant le dwc:Event.,,,,,,"Recommended best practice is to use a controlled vocabulary and separate multiple values in a list with space vertical bar space ( | ). This term has an equivalent in the dwciri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value.","Doporučeným postupem je používat řízený slovník a oddělovat více hodnot v seznamu mezerou svislou čarou mezerou ( | ). Tento termín má ekvivalent ve jmenném prostoru dwciri:, který jako hodnotu povoluje pouze IRI, zatímco tento termín povoluje jakoukoli řetězcovou literální hodnotu.",,,"La pratique optimale recommandée est d'utiliser un vocabulaire contrôlé et de séparer les valeurs d'une liste par une barre verticale ( | ). Ce terme a un équivalent dans le dwciri: namespace qui n'autorise qu'un IRI comme valeur, alors que ce terme autorise n'importe quelle valeur sous forme de chaîne de caractères.",,,,,,,,,,,,,,,
excludedHabitatScope,Excluded Habitat Scope,Rozsah vyloučeného stanoviště,,,Habitats Exclus,,,,,,The habitats explicitly excluded from sampling during the dwc:Event.,Stanoviště výslovně vyloučená z odběru vzorků během dwc:Event.,,,Les habitats explicitement exclus de l'échantillonnage pendant le dwc:Event.,,,,,,"Recommended best practice is to use a controlled vocabulary and separate multiple values in a list with space vertical bar space ( | ). This term has an equivalent in the dwciri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value.","Doporučeným postupem je používat řízený slovník a oddělovat více hodnot v seznamu mezerou svislou čarou mezerou ( | ). Tento termín má ekvivalent ve jmenném prostoru dwciri:, který jako hodnotu povoluje pouze IRI, zatímco tento termín povoluje jakoukoli řetězcovou literální hodnotu.",,,"La pratique optimale recommandée est d'utiliser un vocabulaire contrôlé et de séparer les valeurs d'une liste par une barre verticale ( | ). Ce terme a un équivalent dans le dwciri: namespace qui n'autorise qu'un IRI comme valeur, alors que ce terme autorise n'importe quelle valeur sous forme de chaîne de caractères.",,,,,,,,,,,,,,,
