termListVersion,termVersion
http://rs-test.tdwg.org/dwc/version/terms/2008-11-19,http://rs-test.tdwg.org/dwc/terms/version/AcceptedTaxon-2008-11-19
http://rs-test.tdwg.org/dwc/version/terms/2008-11-19,http://rs-test.tdwg.org/dwc/terms/version/AccessConstraints-2008-11-19
http://rs-test.tdwg.org/dwc/version/terms/2008-11-19,http://rs-test.tdwg.org/dwc/terms/version/CatalogNumberNumeric-2008-11-19
http://rs-test.tdwg.org/dwc/version/terms/2008-11-19,http://rs-test.tdwg.org/dwc/terms/version/Dataset-2008-11-19
http://rs-test.tdwg.org/dwc/version/terms/2008-11-19,http://rs-test.tdwg.org/dwc/terms/version/DwCType-2008-11-19
http://rs-test.tdwg.org/dwc/version/terms/2008-11-19,http://rs-test.tdwg.org/dwc/terms/version/EarliestDateCollected-2008-11-19
http://rs-test.tdwg.org/dwc/version/terms/2008-11-19,http://rs-test.tdwg.org/dwc/terms/version/EndTimeOfDay-2008-11-19
http://rs-test.tdwg.org/dwc/version/terms/2008-11-19,http://rs-test.tdwg.org/dwc/terms/version/EventAttribute-2008-11-19
http://rs-test.tdwg.org/dwc/version/terms/2008-11-19,http://rs-test.tdwg.org/dwc/terms/version/EventAttributeID-2008-11-19
http://rs-test.tdwg.org/dwc/version/terms/2008-11-19,http://rs-test.tdwg.org/dwc/terms/version/EventAttributeRemarks-2008-11-19
http://rs-test.tdwg.org/dwc/version/terms/2008-11-19,http://rs-test.tdwg.org/dwc/terms/version/EventAttributeType-2008-11-19
http://rs-test.tdwg.org/dwc/version/terms/2008-11-19,http://rs-test.tdwg.org/dwc/terms/version/EventAttributeUnit-2008-11-19
http://rs-test.tdwg.org/dwc/version/terms/2008-11-19,http://rs-test.tdwg.org/dwc/terms/version/EventAttributeValue-2008-11-19
http://rs-test.tdwg.org/dwc/version/terms/2008-11-19,http://rs-test.tdwg.org/dwc/terms/version/EventMeasurement-2008-11-19
http://rs-test.tdwg.org/dwc/version/terms/2008-11-19,http://rs-test.tdwg.org/dwc/terms/version/Generalizations-2008-11-19
http://rs-test.tdwg.org/dwc/version/terms/2008-11-19,http://rs-test.tdwg.org/dwc/terms/version/Identification-2008-11-19
http://rs-test.tdwg.org/dwc/version/terms/2008-11-19,http://rs-test.tdwg.org/dwc/terms/version/LatestDateCollected-2008-11-19
http://rs-test.tdwg.org/dwc/version/terms/2008-11-19,http://rs-test.tdwg.org/dwc/terms/version/OccurrenceMeasurement-2008-11-19
http://rs-test.tdwg.org/dwc/version/terms/2008-11-19,http://rs-test.tdwg.org/dwc/terms/version/PreviousIdentifications-2008-11-19
http://rs-test.tdwg.org/dwc/version/terms/2008-11-19,http://rs-test.tdwg.org/dwc/terms/version/RelatedBasisOfRecord-2008-11-19
http://rs-test.tdwg.org/dwc/version/terms/2008-11-19,http://rs-test.tdwg.org/dwc/terms/version/Sample-2008-11-19
http://rs-test.tdwg.org/dwc/version/terms/2008-11-19,http://rs-test.tdwg.org/dwc/terms/version/SampleAttribute-2008-11-19
http://rs-test.tdwg.org/dwc/version/terms/2008-11-19,http://rs-test.tdwg.org/dwc/terms/version/SampleAttributeRemarks-2008-11-19
http://rs-test.tdwg.org/dwc/version/terms/2008-11-19,http://rs-test.tdwg.org/dwc/terms/version/SampleAttributeUnit-2008-11-19
http://rs-test.tdwg.org/dwc/version/terms/2008-11-19,http://rs-test.tdwg.org/dwc/terms/version/SampleAttributeValue-2008-11-19
