document_modified,version,versionLocalName,version_isDefinedBy,version_issued,version_status,replaces_version,replaces1_version,replaces2_version,label,rdfs_comment,rdf_type,term_localName
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/dwc/terms/version/acceptedNameUsage-2009-09-21,acceptedNameUsage-2009-09-21,http://rs.tdwg.org/dwc/terms/version/,2009-09-21,recommended,http://rs.tdwg.org/dwc/terms/version/acceptedScientificName-2009-07-06,,,Accepted Name Usage,"The full name, with authorship and date information if known, of the currently valid (zoological) or accepted (botanical) taxon.",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,acceptedNameUsage
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/dwc/terms/version/acceptedNameUsageID-2009-09-21,acceptedNameUsageID-2009-09-21,http://rs.tdwg.org/dwc/terms/version/,2009-09-21,recommended,http://rs.tdwg.org/dwc/terms/version/acceptedTaxonID-2009-08-24,,,Accepted Name Usage ID,An identifier for the name usage (documented meaning of the name according to a source) of the currently valid (zoological) or accepted (botanical) taxon.,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,acceptedNameUsageID
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/dwc/terms/version/acceptedScientificName-2009-07-06,acceptedScientificName-2009-07-06,http://rs.tdwg.org/dwc/terms/version/,2009-07-06,deprecated,http://rs.tdwg.org/dwc/terms/version/acceptedTaxonName-2009-04-24,,,Accepted Scientific Name,The currently valid (zoological) or accepted (botanical) name for the scientificName.,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,acceptedScientificName
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/dwc/terms/version/acceptedScientificNameID-2009-07-06,acceptedScientificNameID-2009-07-06,http://rs.tdwg.org/dwc/terms/version/,2009-07-06,deprecated,http://rs.tdwg.org/dwc/terms/version/acceptedTaxonNameID-2009-04-24,,,Accepted Scientific Name ID,A unique identifier for the acceptedScientificName.,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,acceptedScientificNameID
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/dwc/terms/version/AcceptedTaxon-2008-11-19,AcceptedTaxon-2008-11-19,http://rs.tdwg.org/dwc/terms/version/,2008-11-19,deprecated,,,,Accepted Taxon,The currently valid (zoological) or accepted (botanical) name for the ScientificName.,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,AcceptedTaxon
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/dwc/terms/version/AcceptedTaxonID-2009-01-21,AcceptedTaxonID-2009-01-21,http://rs.tdwg.org/dwc/terms/version/,2009-01-21,deprecated,,,,Accepted Taxon ID,A global unique identifier for the parent to the AcceptedTaxon.,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,AcceptedTaxonID
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/dwc/terms/version/acceptedTaxonID-2009-08-24,acceptedTaxonID-2009-08-24,http://rs.tdwg.org/dwc/terms/version/,2009-08-24,deprecated,http://rs.tdwg.org/dwc/terms/version/acceptedScientificNameID-2009-07-06,,,Accepted Taxon ID,An identifier for the name of the currently valid (zoological) or accepted (botanical) taxon. See acceptedTaxon.,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,acceptedTaxonID
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/dwc/terms/version/acceptedTaxonName-2009-04-24,acceptedTaxonName-2009-04-24,http://rs.tdwg.org/dwc/terms/version/,2009-04-24,deprecated,http://rs.tdwg.org/dwc/terms/version/AcceptedTaxon-2008-11-19,,,Accepted Taxon Name,The currently valid (zoological) or accepted (botanical) name for the scientificName.,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,acceptedTaxonName
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/dwc/terms/version/acceptedTaxonNameID-2009-04-24,acceptedTaxonNameID-2009-04-24,http://rs.tdwg.org/dwc/terms/version/,2009-04-24,deprecated,http://rs.tdwg.org/dwc/terms/version/AcceptedTaxonID-2009-01-21,,,Accepted Taxon Name ID,A unique identifier for the acceptedTaxonName.,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,acceptedTaxonNameID
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/dwc/terms/version/AccessConstraints-2008-11-19,AccessConstraints-2008-11-19,http://rs.tdwg.org/dwc/terms/version/,2008-11-19,deprecated,,,,Access Constraints,A description of constraints on the use of the data as shared or access to further data that is not shared.,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,AccessConstraints
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/dwc/terms/version/accordingTo-2009-01-21,accordingTo-2009-01-21,http://rs.tdwg.org/dwc/terms/version/,2009-01-21,recommended,,,,According To,Abstract term to attribute information to a source.,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,accordingTo
