"identifier","context","text"
"license:label","Label for License http://rs.tdwg.org/dwc/terms/license","Licencia"
"license:definition","Definition for License http://rs.tdwg.org/dwc/terms/license","Un documento legal dando permiso oficial para hacer algo con el recurso."
"license:usage","Usage for License http://rs.tdwg.org/dwc/terms/license","Un documento legal dando permiso oficial para hacer algo con la descripción del registro."
"license:notes","Notes for License http://rs.tdwg.org/dwc/terms/license","Práctica recomendada es identificar el documento de la licencia con un IRI. Si no es posible o realizable, un valor literal que identifique la licencia puede ser provisto."
"rights:label","Label for Rights http://rs.tdwg.org/dwc/terms/rights","Derechos"
"rights:definition","Definition for Rights http://rs.tdwg.org/dwc/terms/rights","Información sobre los derechos que se tienen y se retienen sobre el recurso."
"rights:usage","Usage for Rights http://rs.tdwg.org/dwc/terms/rights","Una declaración de algún recurso que se tiene o retiene la descripción del registro."
"rights:notes","Notes for Rights http://rs.tdwg.org/dwc/terms/rights","Típicamente, la información de derechos incluye una declaración sobre varios derechos de propiedad asociados con el recurso, incluyendo derechos de propiedad intelectual. Práctica recomendada es referirse a la declaración de derechos con un IRI. Si eso no es posible o realizable, se proveer un valor literal (nombre, etiqueta o texto corto)."
"rightsHolder:label","Label for Rights Holder http://rs.tdwg.org/dwc/terms/rightsHolder",""
"rightsHolder:definition","Definition for Rights Holder http://rs.tdwg.org/dwc/terms/rightsHolder",""
"rightsHolder:usage","Usage for Rights Holder http://rs.tdwg.org/dwc/terms/rightsHolder",""
"rightsHolder:notes","Notes for Rights Holder http://rs.tdwg.org/dwc/terms/rightsHolder",""
