document_modified,version,version_issued,vocabulary_status,label,description,vocabulary,dc_creator,dcterms_license
2020-01-27T09:17:01-06:00,http://rs.tdwg.org/version/ac/2013-10-28,2013-10-28,superseded,Audubon Core basic vocabulary,This vocabulary contains all Audubn Core terms,http://rs.tdwg.org/ac/,TDWG Multimedia Resources Task Group,http://creativecommons.org/licenses/by/4.0/
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/version/dwc/2008-11-19,2008-11-19,superseded,Darwin Core basic vocabulary,This vocabulary contains Darwin Core terms intended for use with literal values,http://rs.tdwg.org/dwc/,TDWG Darwin Core Task Group,http://creativecommons.org/licenses/by/4.0/
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/version/dwc/2009-01-18,2009-01-18,superseded,Darwin Core basic vocabulary,This vocabulary contains Darwin Core terms intended for use with literal values,http://rs.tdwg.org/dwc/,TDWG Darwin Core Task Group,http://creativecommons.org/licenses/by/4.0/
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/version/dwc/2009-01-21,2009-01-21,superseded,Darwin Core basic vocabulary,This vocabulary contains Darwin Core terms intended for use with literal values,http://rs.tdwg.org/dwc/,TDWG Darwin Core Task Group,http://creativecommons.org/licenses/by/4.0/
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/version/dwc/2009-01-23,2009-01-23,superseded,Darwin Core basic vocabulary,This vocabulary contains Darwin Core terms intended for use with literal values,http://rs.tdwg.org/dwc/,TDWG Darwin Core Task Group,http://creativecommons.org/licenses/by/4.0/
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/version/dwc/2009-04-24,2009-04-24,superseded,Darwin Core basic vocabulary,This vocabulary contains Darwin Core terms intended for use with literal values,http://rs.tdwg.org/dwc/,TDWG Darwin Core Task Group,http://creativecommons.org/licenses/by/4.0/
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/version/dwc/2009-04-29,2009-04-29,superseded,Darwin Core basic vocabulary,This vocabulary contains Darwin Core terms intended for use with literal values,http://rs.tdwg.org/dwc/,TDWG Darwin Core Task Group,http://creativecommons.org/licenses/by/4.0/
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/version/dwc/2009-05-18,2009-05-18,superseded,Darwin Core basic vocabulary,This vocabulary contains Darwin Core terms intended for use with literal values,http://rs.tdwg.org/dwc/,TDWG Darwin Core Task Group,http://creativecommons.org/licenses/by/4.0/
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/version/dwc/2009-07-06,2009-07-06,superseded,Darwin Core basic vocabulary,This vocabulary contains Darwin Core terms intended for use with literal values,http://rs.tdwg.org/dwc/,TDWG Darwin Core Task Group,http://creativecommons.org/licenses/by/4.0/
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/version/dwc/2009-08-24,2009-08-24,superseded,Darwin Core basic vocabulary,This vocabulary contains Darwin Core terms intended for use with literal values,http://rs.tdwg.org/dwc/,TDWG Darwin Core Task Group,http://creativecommons.org/licenses/by/4.0/
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/version/dwc/2009-09-11,2009-09-11,superseded,Darwin Core basic vocabulary,This vocabulary contains Darwin Core terms intended for use with literal values,http://rs.tdwg.org/dwc/,TDWG Darwin Core Task Group,http://creativecommons.org/licenses/by/4.0/
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/version/dwc/2009-09-17,2009-09-17,superseded,Darwin Core basic vocabulary,This vocabulary contains Darwin Core terms intended for use with literal values,http://rs.tdwg.org/dwc/,TDWG Darwin Core Task Group,http://creativecommons.org/licenses/by/4.0/
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/version/dwc/2009-09-21,2009-09-21,superseded,Darwin Core basic vocabulary,This vocabulary contains Darwin Core terms intended for use with literal values,http://rs.tdwg.org/dwc/,TDWG Darwin Core Task Group,http://creativecommons.org/licenses/by/4.0/
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/version/dwc/2009-12-07,2009-12-07,superseded,Darwin Core basic vocabulary,This vocabulary contains Darwin Core terms intended for use with literal values,http://rs.tdwg.org/dwc/,TDWG Darwin Core Task Group,http://creativecommons.org/licenses/by/4.0/
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/version/dwc/2011-10-16,2011-10-16,superseded,Darwin Core basic vocabulary,This vocabulary contains Darwin Core terms intended for use with literal values,http://rs.tdwg.org/dwc/,TDWG Darwin Core Task Group,http://creativecommons.org/licenses/by/4.0/
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/version/dwc/2013-03-28,2013-03-28,superseded,Darwin Core basic vocabulary,This vocabulary contains Darwin Core terms intended for use with literal values,http://rs.tdwg.org/dwc/,TDWG Darwin Core Task Group,http://creativecommons.org/licenses/by/4.0/
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/version/dwc/2013-05-25,2013-05-25,superseded,Darwin Core basic vocabulary,This vocabulary contains Darwin Core terms intended for use with literal values,http://rs.tdwg.org/dwc/,TDWG Darwin Core Task Group,http://creativecommons.org/licenses/by/4.0/
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/version/dwc/2014-10-23,2014-10-23,superseded,Darwin Core basic vocabulary,This vocabulary contains Darwin Core terms intended for use with literal values,http://rs.tdwg.org/dwc/,TDWG Darwin Core Task Group,http://creativecommons.org/licenses/by/4.0/
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/version/dwc/2014-12-23,2014-12-23,superseded,Darwin Core basic vocabulary,This vocabulary contains Darwin Core terms intended for use with literal values,http://rs.tdwg.org/dwc/,TDWG Darwin Core Task Group,http://creativecommons.org/licenses/by/4.0/
2020-07-26T10:22:16-05:00,http://rs.tdwg.org/version/dwc/2015-03-27,2015-03-27,superseded,Darwin Core basic vocabulary,This vocabulary contains Darwin Core terms suitable for use with both literal and IRI values,http://rs.tdwg.org/dwc/,TDWG Darwin Core and RDF/OWL Task Groups,http://creativecommons.org/licenses/by/4.0/
2020-01-27T09:17:01-06:00,http://rs.tdwg.org/version/ac/2020-01-27,2020-01-27,recommended,Audubon Core basic vocabulary,This vocabulary contains all Audubon Core terms,http://rs.tdwg.org/ac/,TDWG Multimedia Resources Task Group,http://creativecommons.org/licenses/by/4.0/
2020-07-26T20:48:49-05:00,http://rs.tdwg.org/version/dwc/2017-10-06,2017-10-06,superseded,Darwin Core basic vocabulary,This vocabulary contains Darwin Core terms suitable for use with both literal and IRI values,http://rs.tdwg.org/dwc/,TDWG Darwin Core and RDF/OWL Task Groups,http://creativecommons.org/licenses/by/4.0/
2020-07-26T20:48:49-05:00,http://rs.tdwg.org/version/dwc/2018-09-06,2018-09-06,recommended,Darwin Core basic vocabulary,This vocabulary contains Darwin Core terms suitable for use with both literal and IRI values,http://rs.tdwg.org/dwc/,TDWG Darwin Core and RDF/OWL Task Groups,http://creativecommons.org/licenses/by/4.0/
