linked_affected_resource,decision_localName
http://purl.org/dc/terms/type,decision-2009-12-07_1
http://rs-test.tdwg.org/dwc/terms/basisOfRecord,decision-2009-12-07_2
http://rs-test.tdwg.org/dwc/terms/occurrenceDetails,decision-2011-10-16_7
http://purl.org/dc/terms/references,decision-2011-10-16_7
http://rs-test.tdwg.org/dwc/terms/namePublishedInYear,decision-2011-10-16_8
http://rs-test.tdwg.org/dwc/terms/georeferencedDate,decision-2011-10-16_9
http://rs-test.tdwg.org/dwc/terms/identificationVerificationStatus,decision-2011-10-16_10
http://rs-test.tdwg.org/dwc/terms/MaterialSample,decision-2013-10-09_11
http://rs-test.tdwg.org/dwc/dwctype/MaterialSample,decision-2013-10-09_12
http://rs-test.tdwg.org/dwc/terms/materialSampleID,decision-2013-10-09_13
http://rs-test.tdwg.org/dwc/terms/associatedOrganisms,decision-2014-10-26_14
http://rs-test.tdwg.org/dwc/terms/Organism,decision-2014-10-26_14
http://rs-test.tdwg.org/dwc/terms/organismID,decision-2014-10-26_14
http://rs-test.tdwg.org/dwc/terms/organismName,decision-2014-10-26_14
http://rs-test.tdwg.org/dwc/terms/organismRemarks,decision-2014-10-26_14
http://rs-test.tdwg.org/dwc/terms/organismScope,decision-2014-10-26_14
http://rs-test.tdwg.org/dwc/terms/individualID,decision-2014-10-26_14
http://rs-test.tdwg.org/dwc/terms/previousIdentifications,decision-2014-10-26_14
http://rs-test.tdwg.org/dwc/terms/associatedOccurrences,decision-2014-10-26_14
http://rs-test.tdwg.org/dwc/dwctype/FossilSpecimen,decision-2014-10-26_15
http://rs-test.tdwg.org/dwc/dwctype/HumanObservation,decision-2014-10-26_15
http://rs-test.tdwg.org/dwc/dwctype/LivingSpecimen,decision-2014-10-26_15
http://rs-test.tdwg.org/dwc/dwctype/Location,decision-2014-10-26_15
http://rs-test.tdwg.org/dwc/dwctype/MachineObservation,decision-2014-10-26_15
http://rs-test.tdwg.org/dwc/dwctype/MaterialSample,decision-2014-10-26_15
http://rs-test.tdwg.org/dwc/dwctype/NomenclaturalChecklist,decision-2014-10-26_15
http://rs-test.tdwg.org/dwc/dwctype/Occurrence,decision-2014-10-26_15
http://rs-test.tdwg.org/dwc/dwctype/PreservedSpecimen,decision-2014-10-26_15
http://rs-test.tdwg.org/dwc/dwctype/Taxon,decision-2014-10-26_15
http://rs-test.tdwg.org/dwc/terms/basisOfRecord,decision-2014-10-26_15
http://rs-test.tdwg.org/dwc/terms/Event,decision-2014-10-26_15
http://rs-test.tdwg.org/dwc/terms/FossilSpecimen,decision-2014-10-26_15
http://rs-test.tdwg.org/dwc/terms/GeologicalContext,decision-2014-10-26_15
http://rs-test.tdwg.org/dwc/terms/HumanObservation,decision-2014-10-26_15
http://rs-test.tdwg.org/dwc/terms/Identification,decision-2014-10-26_15
http://rs-test.tdwg.org/dwc/terms/LivingSpecimen,decision-2014-10-26_15
http://rs-test.tdwg.org/dwc/terms/MachineObservation,decision-2014-10-26_15
http://rs-test.tdwg.org/dwc/terms/MaterialSample,decision-2014-10-26_15
http://rs-test.tdwg.org/dwc/terms/MeasurementOrFact,decision-2014-10-26_15
http://rs-test.tdwg.org/dwc/terms/Occurrence,decision-2014-10-26_15
http://rs-test.tdwg.org/dwc/terms/PreservedSpecimen,decision-2014-10-26_15
http://rs-test.tdwg.org/dwc/terms/ResourceRelationship,decision-2014-10-26_15
http://rs-test.tdwg.org/dwc/terms/Taxon,decision-2014-10-26_15
http://rs-test.tdwg.org/dwc/terms/associatedMedia,decision-2014-10-30_16
http://rs-test.tdwg.org/dwc/terms/associatedOccurrences,decision-2014-10-30_16
http://rs-test.tdwg.org/dwc/terms/associatedReferences,decision-2014-10-30_16
http://rs-test.tdwg.org/dwc/terms/associatedTaxa,decision-2014-10-30_16
http://rs-test.tdwg.org/dwc/terms/dynamicProperties,decision-2014-10-30_16
http://rs-test.tdwg.org/dwc/terms/georeferencedBy,decision-2014-10-30_16
http://rs-test.tdwg.org/dwc/terms/georeferenceSources,decision-2014-10-30_16
http://rs-test.tdwg.org/dwc/terms/higherClassification,decision-2014-10-30_16
http://rs-test.tdwg.org/dwc/terms/higherGeography,decision-2014-10-30_16
http://rs-test.tdwg.org/dwc/terms/identificationReferences,decision-2014-10-30_16
http://rs-test.tdwg.org/dwc/terms/identifiedBy,decision-2014-10-30_16
http://rs-test.tdwg.org/dwc/terms/individualID,decision-2014-10-30_16
http://rs-test.tdwg.org/dwc/terms/measurementDeterminedBy,decision-2014-10-30_16
http://rs-test.tdwg.org/dwc/terms/otherCatalogNumbers,decision-2014-10-30_16
http://rs-test.tdwg.org/dwc/terms/preparations,decision-2014-10-30_16
http://rs-test.tdwg.org/dwc/terms/previousIdentifications,decision-2014-10-30_16
http://rs-test.tdwg.org/dwc/terms/recordedBy,decision-2014-10-30_16
http://rs-test.tdwg.org/dwc/terms/typeStatus,decision-2014-10-30_16
http://purl.org/dc/terms/rights,decision-2014-11-06_17
http://purl.org/dc/terms/license,decision-2014-11-06_17
http://rs-test.tdwg.org/dwc/terms/organismQuantity,decision-2015-03-19_18
http://rs-test.tdwg.org/dwc/terms/organismQuantityType,decision-2015-03-19_18
http://rs-test.tdwg.org/dwc/terms/parentEventID,decision-2015-03-19_18
http://rs-test.tdwg.org/dwc/terms/sampleSizeUnit,decision-2015-03-19_18
http://rs-test.tdwg.org/dwc/terms/sampleSizeValue,decision-2015-03-19_18
