identifier,context,text
City:label,Label for City or Place Name http://rs.tdwg.org/dwc/terms/City,City or Place Name
City:rdfs_comment,Comment for City or Place Name http://rs.tdwg.org/dwc/terms/City,Name of the city of a location. This element is at the fourth level of a top-down geographical hierarchy.
City:skos_scopeNote,Usage for City or Place Name http://rs.tdwg.org/dwc/terms/City,"Optionally, the name of a city or place commonly found in gazetteers (such as a mountain or national park) in which the subjects (e. g., species, habitats, or events) were located."
CountryCode:label,Label for Country Code http://rs.tdwg.org/dwc/terms/CountryCode,Country Code
CountryCode:rdfs_comment,Comment for Country Code http://rs.tdwg.org/dwc/terms/CountryCode,The ISO code of a country of a location. This element is at the second level of a top-down geographical hierarchy.
CountryCode:dcterms_description,Description for Country Code http://rs.tdwg.org/dwc/terms/CountryCode,"Accepted exceptions to be used instead of ISO codes are: ""Global"", ""Marine"", ""Europe"", ""N-America"", ""C-America"", ""S-America"", ""Africa"", ""Asia"", ""Oceania"", ATA = ""Antarctica"", XEU = ""European Union"", XAR = ""Arctic"", ""ZZZ"" = ""Unknown country"" (3 letter abbreviations from IPTC codes)."
CountryCode:skos_scopeNote,Usage for Country Code http://rs.tdwg.org/dwc/terms/CountryCode,"The geographic location of the specific entity or entities documented by the media item, expressed through a constrained vocabulary of countries using 2-letter ISO 3166-1 country code (e. g. ""IT, SI"")."
CountryName:label,Label for Country Name http://rs.tdwg.org/dwc/terms/CountryName,Country Name
CountryName:rdfs_comment,Comment for Country Name http://rs.tdwg.org/dwc/terms/CountryName,The name of a country of a location. This element is at the second level of a top-down geographical hierarchy.
CountryName:skos_scopeNote,Usage for Country Name http://rs.tdwg.org/dwc/terms/CountryName,"This field can be free text, but where possible, the use of http://iptc.org/std/Iptc4xmpExt/2008-02-29/CountryCode is preferred."
CVterm:label,Label for Subject Category (IRI) http://rs.tdwg.org/dwc/terms/CVterm,Subject Category (IRI)
CVterm:rdfs_comment,Comment for Subject Category (IRI) http://rs.tdwg.org/dwc/terms/CVterm,A term to describe the content of the image by a value from a Controlled Vocabulary. 
CVterm:skos_scopeNote,Usage for Subject Category (IRI) http://rs.tdwg.org/dwc/terms/CVterm,"Values MUST be IRIs from a controlled vocabulary of subjects to support broad classification of media items. IRIs from the Audiovisual Core Content Description controlled vocabulary are preferred, but other controlled vocabularies may be used as long as the term is uniquely identified by an IRI. This term MAY be used to describe the content of a region of interest within an media item. These guidelines on value format are less restrictive than is specified by the IPTC guidelines and this property MAY be used with any media type, not only images."
LocationCreated:label,Label for Location Created http://rs.tdwg.org/dwc/terms/LocationCreated,Location Created
LocationCreated:rdfs_comment,Comment for Location Created http://rs.tdwg.org/dwc/terms/LocationCreated,The location the content of the item was created 
LocationCreated:dcterms_description,Description for Location Created http://rs.tdwg.org/dwc/terms/LocationCreated,"The distinction between the location shown and created is often irrelevant, and metadata may be assumed to be referring to location shown. It is recommended that the Location Shown field above always be used when known. However, in the case of position data automatically recorded by the instrument (e. g. EXIF GPS data) Location Created should be used to maintain information accuracy. When one but not both of these locations are present, AC is silent about whether the provided one entails the other. A best practices document for a particular AC implementation might address this."
LocationCreated:skos_scopeNote,Usage for Location Created http://rs.tdwg.org/dwc/terms/LocationCreated,The location at which the media recording instrument was placed when the media was created.
LocationShown:label,Label for Location Shown http://rs.tdwg.org/dwc/terms/LocationShown,Location Shown
LocationShown:rdfs_comment,Comment for Location Shown http://rs.tdwg.org/dwc/terms/LocationShown,A location the content of the item is about. For photos that is a location shown in the image.
LocationShown:skos_scopeNote,Usage for Location Shown http://rs.tdwg.org/dwc/terms/LocationShown,"The location that is depicted the media content, irrespective of the location at which the resource has been created."
ProvinceState:label,Label for Province or State http://rs.tdwg.org/dwc/terms/ProvinceState,Province or State
ProvinceState:rdfs_comment,Comment for Province or State http://rs.tdwg.org/dwc/terms/ProvinceState,The name of a subregion of a country - a province or state - of a location. This element is at the third level of a top-down geographical hierarchy.
ProvinceState:skos_scopeNote,Usage for Province or State http://rs.tdwg.org/dwc/terms/ProvinceState,"OPTIONALLY, the geographic unit immediately below the country level (individual states in federal countries, provinces, or other administrative units) in which the subject of the media resource (e. g., species, habitats, or events) were located (if such information is available in separate fields)."
Sublocation:label,Label for Sublocation http://rs.tdwg.org/dwc/terms/Sublocation,Sublocation
Sublocation:rdfs_comment,Comment for Sublocation http://rs.tdwg.org/dwc/terms/Sublocation,Name of a sublocation. This sublocation name could either be the name of a sublocation to a city or the name of a well known location or (natural) monument outside a city. In the sense of a sublocation to a city this element is at the fifth level of a top-down geographical hierarchy.
Sublocation:skos_scopeNote,Usage for Sublocation http://rs.tdwg.org/dwc/terms/Sublocation,"Free-form text location details of the location of the subjects, down to the village, forest, or geographic feature etc., below the Iptc4xmpExt:City place name, especially information that could not be found in a gazetteer."
WorldRegion:label,Label for World Region http://rs.tdwg.org/dwc/terms/WorldRegion,World Region
WorldRegion:rdfs_comment,Comment for World Region http://rs.tdwg.org/dwc/terms/WorldRegion,The name of a world region of a location. This element is at the first (topI) level of a topdown geographical hierarchy.
WorldRegion:dcterms_description,Description for World Region http://rs.tdwg.org/dwc/terms/WorldRegion,"The equivalent DarwinCore fields here forces primary metadata providers to classify world region terms into separate properties for ""continent"", ""waterbody"", ""islandGroup"". By contrast, the Iptc4xmpExt vocabulary only specifies that a World Region is something at the top of a hierarchy of locations."
WorldRegion:skos_scopeNote,Usage for World Region http://rs.tdwg.org/dwc/terms/WorldRegion,"Name of a world region in some high level classification, such as names for continents, waterbodies, or island groups, whichever is most appropriate. The terms preferably are derived from a controlled vocabulary."
