term_localName,label_en,label_de,label_es,label_fr,label_ko,label_nl,label_ru,label_zh-Hans,label_zh-Hant,definition_en,definition_de,definition_es,definition_fr,definition_ko,definition_nl,definition_ru,definition_zh-Hans,definition_zh-Hant,usage_en,usage_de,usage_es,usage_fr,usage_ko,usage_nl,usage_ru,usage_zh-Hans,usage_zh-Hant,notes_en,notes_de,notes_es,notes_fr,notes_ko,notes_nl,notes_ru,notes_zh-Hans,notes_zh-Hant
p,pathway concept scheme,,equema conceptual de ruta,,도입개념 체계,,,,,A SKOS Concept Scheme to be used as a controlled vocabulary for the Darwin Core terms dwc:pathway and dwciri:pathway,,Un Esquema Conceptual SKOS para ser utilizado como vocabulario controlado para los términos de Darwin Core dwc:pathway y dwciri:pathway,,다윈코어 용어 pathway에 대한 통제 어휘로 사용하기 위한 SKOS 개념체계,,,,,,,,,,,,,,,,,,,,,,
p001,biological control,,control biológico,contrôle biologique,생물학적 방제,biologische bestrijding,,,生物防治,Organisms occuring in an area because they were introduced for the purpose of biological control of another organism.,,Organismos presentes en un área porque fueron introducidos con el propósito de llevar a cabo control biológico de otro organismo.,Organismes introduits volontairement dans une zone pour y contrôler d'autres organismes.,다른 유기체에대한 생물학적 방제를 목적으로 도입되어 그 지역에서 발견되는 유기체,Organismen die voorkomen in een gebied door introductie of met de intentie voor biologische bestrijding van een ander organisme.,,,物種因為用來防治另一種生物而引進在一區域出現。,,,,,,,,,,Released intentionally into the (semi)natural environment with the purpose of controlling the population(s) of one or more organisms. See also Harrower et al. 2017. http://nora.nerc.ac.uk/id/eprint/519129,,,,,,,,
p002,erosion control,,control de erosión,contrôle de l’érosion,침식 조절,erosiebestrijding,,,,"Organisms introduced for the purpose of erosion control/dune stabilization (windbreaks, hedges, etc.).",,"Organismos introducidos con el propósito de llevar a cabo control de erosión/estabilización de dunas (cortavientos, setos, etc.).","Organismes introduits dans le but de contrôler l'érosion, stabiliser les dunes (brise-vent, haies, etc.).","침식방지/사구안정화(바람막이,울타리 등)를 위해 도입된 유기체","Geïntroduceerd organisme met een oog op duinstabilisatie of controle van erosie (hagen, windschermen etc.).",,,,,,,,,,,,,Probably only applicable to plants. See also Harrower et al. 2017. http://nora.nerc.ac.uk/id/eprint/519129,,,,,,,,
p003,fishery in the wild,,pesca silvestre,pêche en milieu naturel,어장,visserij in het wild,,,,Fish stocked into the wild either to create a fishery or for recreational angling.,,Peces introducidos en ambientes naturales para crear una pesquería o para la pesca recreativa.,Poissons capturés en milieu naturel à des fins commerciales ou pour la pêche récréative.,양식 또는 취미 낚시를 위해 자연에서 사육되는 어류,Wild visserijbestand voor het creeëren van een visserij of voor de hengelsport.,,,,,,,,,,,,,Largely applicable to freshwater and anadromous fish. See also Harrower et al. 2017. http://nora.nerc.ac.uk/id/eprint/519129,,,,,,,,
p004,hunting,,caza,chasse,사냥,jacht,,,狩獵,Animals stocked into the wild specifically with the intention that they would be hunted for sport.,,Animales introducidos en ambientes naturales específicamente para ser objeto de caza deportiva.,Animaux sauvages ou lâchés dans la nature pour la chasse.,스포츠 사냥을 위한 목적으로 사육되는 동물,Dieren die in het wild gehouden worden met het oog op de jacht.,,,動物任由在野生環境繁殖以供狩獵活動之用。,,,,,,,,,,Largely applicable to terrestrial vertebrates. See also Harrower et al. 2017. http://nora.nerc.ac.uk/id/eprint/519129,,,,,,,,
p005,landscape improvement,,mejoramiento de paisaje,aménagement paysager,경관개선,landschapsverbetering,,,,"Landscape/flora/fauna ""improvement"" in the wild.",,"""Mejoramiento"" de paisaje/flora/fauna en la naturaleza.",Paysage/Faune/Flore amelioration naturelle.,,"Verbetering van het landschap, de flora en de fauna in het wild.",,,,,,,,,,,,,"""Improvement"" in this context is intended for introductions for the purpose of aesthetic enhancement of the landscape, as opposed to practical introductions for the purpose of erosion control, agriculture, forestry etc. See also Harrower et al. 2017. http://nora.nerc.ac.uk/id/eprint/519129",,,,,,,,
p006,conservation or wildlife management,,conservación o manejo de vida silvestre,conservation ou gestion de la vie sauvage,보존 및 관리,conservatie of natuurbeheer,,,,Organisms introduced for conservation purposes or wildlife management.,,Organismos introducidos con fines de conservación o manejo de vida silvestre.,Organismes introduits à des fins de conservation ou de gestion de la faune.,보존목적 또는 야생동물 관리 목적으로 도입된 유기체,Geïntroduceerde organismen voor conservatiepraktijken of natuurbeheer.,,,,,,,,,,,,,The organism was released with the intention of improving the conservation status of the species or the conservation status other species in the habitat. See also Harrower et al. 2017. http://nora.nerc.ac.uk/id/eprint/519129,,,,,,,,
p007,released for use,,liberado para uso,libération pour usage,용도를 위한 방출,vrijgelaten met een doel,,,,"Release in nature for use (other than above, e.g., fur, transport, medical use).",,"Liberado en la naturaleza para uso (distinto del anterior, e.g., peletería, transporte, uso medicinal).","Rejet dans la nature pour utilisation (autre que ci-dessus, par exemple fourrure, transport, usage médical).","사용하기위해 자연에 방류됨(위의 용도외에도 모피, 수송, 의료용 등)","Vrijlating in de natuur met een doel (anders dan hierboven; bv. pels, transport ...).",,,,,,,,,,,,,This term refers to organisms intentionally and directly released into the wild to serve a specific purpose. See also Harrower et al. 2017. http://nora.nerc.ac.uk/id/eprint/519129,,,,,,,,
p008,other intentional release,,otra liberación intencional,autre libération volontaire,기타 의도적 방출,andere intentionele vrijlating,,,,A catch-all term for intentional releases not for human use that are not covered by other more specific terms.,,Un término general para liberaciones intencionales no para uso humano que no estén cubiertas por otros términos más específicos.,Un terme fourre-tout pour les rejets intentionnels non destinés à un usage humain qui ne sont pas couverts par d'autres termes plus spécifiques.,위의 특정 용어들에 해당하지 않은 인간의 필요에 의해 의도적으로 방출된 것들을 모두 아우르는 단어,Een overkoepelende term voor intentionele vrijlatingen (niet voor menselijke doeleinden).,,,,,,,,,,,,,"Compare with ""other escape from confinement"". See also Harrower et al. 2017. http://nora.nerc.ac.uk/id/eprint/519129",,,,,,,,
p009,agriculture (including biofuel feedstocks),,agricultura (incluyendo materia prima para biocombustibles),agriculture (y compris les matières premières des biocarburants),"경작(바이오에너지, 사료작물 포함)",landbouw (inclusief basismaterialen voor biobrandstof),,,,Plants grown with the intention of harvesting.,,Plantas cultivadas con la intención de cosecharlas.,Plantes cultivées avec l'intention de récolter.,수확을 목적으로 기르는 식물들,Planten die gehouden worden om finaal geoogst te worden.,,,,,,,,,,,,,See also Harrower et al. 2017. http://nora.nerc.ac.uk/id/eprint/519129,,,Voir également Harrower et al. 2017. http://nora.nerc.ac.uk/id/eprint/519129,,,,,
