"identifier","context","text"
"d:label","Label for degreeOfEstablishment concept scheme http://rs.tdwg.org/dwc/terms/d","esquema del concepto degreeOfEstablishment"
"d:definition","Definition for degreeOfEstablishment concept scheme http://rs.tdwg.org/dwc/terms/d","Un esquema conceptual SKOS que se utilizará como vocabulario controlado para los términos Darwin Core dwc:degreeOfEstablishment y dwciri:degreeOfEstablishment"
"d001:label","Label for native (category A) http://rs.tdwg.org/dwc/terms/d001","nativo (categoría A)"
"d001:definition","Definition for native (category A) http://rs.tdwg.org/dwc/terms/d001","No se transporta más allá de los límites del área de distribución nativa."
"d001:notes","Notes for native (category A) http://rs.tdwg.org/dwc/terms/d001","Considerado nativo y ocurriendo de forma natural. Ver también ""categoría A"" en Blackburn et al. 2011. https://doi.org/10.1016/j.tree.2011.03.023"
"d002:label","Label for captive (category B1) http://rs.tdwg.org/dwc/terms/d002","en cautividad (categoría B1)"
"d002:definition","Definition for captive (category B1) http://rs.tdwg.org/dwc/terms/d002","Individuos en cautiverio o cuarentena (es decir, individuos provistos de condiciones adecuadas para ellos, pero con medidas explícitas de contención)."
"d002:usage","Usage for captive (category B1) http://rs.tdwg.org/dwc/terms/d002","Solo para casos donde acciones específicas han sido aplicadas para prevenir el escape de individuos o propágulos."
"d002:notes","Notes for captive (category B1) http://rs.tdwg.org/dwc/terms/d002","Ver también ""categoría B1"" en Blackburn et al. 2011. https://doi.org/10.1016/j.tree.2011.03.023"
"d003:label","Label for cultivated (category B2) http://rs.tdwg.org/dwc/terms/d003","cultivado (categoría B2)"
"d003:definition","Definition for cultivated (category B2) http://rs.tdwg.org/dwc/terms/d003","Individuos en cultivo (es decir, individuos provistos de condiciones adecuadas para ellos, pero las medidas explícitas para evitar la dispersión son limitadas en el mejor de los casos)."
"d003:notes","Notes for cultivated (category B2) http://rs.tdwg.org/dwc/terms/d003","Ejemplos incluyen jardines, parques y granjas. Ver también ""categoría B2"" en Blackburn et al. 2011. https://doi.org/10.1016/j.tree.2011.03.023"
"d004:label","Label for released (category B3) http://rs.tdwg.org/dwc/terms/d004","liberado (categoría B3)"
"d004:definition","Definition for released (category B3) http://rs.tdwg.org/dwc/terms/d004","Individuos liberados directamente en un entorno nuevo."
"d004:notes","Notes for released (category B3) http://rs.tdwg.org/dwc/terms/d004","Por ejemplo, peces almacenados para la pesca con caña, aves para la caza. Ver también ""categoría B3"" en Blackburn et al. 2011. https://doi.org/10.1016/j.tree.2011.03.023"
"d005:label","Label for failing (category C0) http://rs.tdwg.org/dwc/terms/d005","en peligro (categoría C0)"
"d005:definition","Definition for failing (category C0) http://rs.tdwg.org/dwc/terms/d005","Individuos liberados fuera del cautiverio o del cultivo en un lugar, pero incapaces de sobrevivir durante un periodo significativo."
"d005:notes","Notes for failing (category C0) http://rs.tdwg.org/dwc/terms/d005","Por ejemplo, plantas sembradas sensibles a las heladas o plantadas en un clima frío. Ver también ""categoría C0"" en Blackburn et al. 2011. https://doi.org/10.1016/j.tree.2011.03.023"
"d006:label","Label for casual (category C1) http://rs.tdwg.org/dwc/terms/d006","ocasional (categoría C1)"
"d006:definition","Definition for casual (category C1) http://rs.tdwg.org/dwc/terms/d006","Individuos que sobreviven fuera de la cautividad o del cultivo en un lugar sin reproducción."
"d006:notes","Notes for casual (category C1) http://rs.tdwg.org/dwc/terms/d006","Árboles plantados en medios silvestres para tala u ornamentación pueden entrar en esta categoría. Ver también ""categoría C1"" en Blackburn et al. 2011. https://doi.org/10.1016/j.tree.2011.03.023"
"d007:label","Label for reproducing (category C2) http://rs.tdwg.org/dwc/terms/d007","en reprodución (categoría C2)"
"d007:definition","Definition for reproducing (category C2) http://rs.tdwg.org/dwc/terms/d007","Individuos que sobreviven fuera de la cautividad o del cultivo en un lugar. Se reproduce, pero la población no es autosuficiente."
"d007:notes","Notes for reproducing (category C2) http://rs.tdwg.org/dwc/terms/d007","Se produce descendencia, pero esta no sobrevive o no es lo suficientemente fértil para mantener la población. Ver también ""categoría C2"" en Blackburn et al. 2011. https://doi.org/10.1016/j.tree.2011.03.023"
"d008:label","Label for established (category C3) http://rs.tdwg.org/dwc/terms/d008","establecida (categoría C3)"
"d008:definition","Definition for established (category C3) http://rs.tdwg.org/dwc/terms/d008","Individuos que sobreviven fuera de la cautividad o del cultivo en un lugar. Se reproducen y la población es autosuficiente."
"d008:notes","Notes for established (category C3) http://rs.tdwg.org/dwc/terms/d008","La población se mantiene por reproducción pero no se expande. Ver también ""categoría C3"" en Blackburn et al. 2011. https://doi.org/10.1016/j.tree.2011.03.023"
"d009:label","Label for colonising (category D1) http://rs.tdwg.org/dwc/terms/d009","colonizadora (categoría D1)"
"d009:definition","Definition for colonising (category D1) http://rs.tdwg.org/dwc/terms/d009","Población autosuficiente fuera de cautiverio o cultivo, con individuos que sobreviven a una distancia significativa del punto de introducción original."
"d009:notes","Notes for colonising (category D1) http://rs.tdwg.org/dwc/terms/d009","La población se mantiene por reproducción y se está extendiendo. Ver también ""categoría D1"" en Blackburn et al. 2011. https://doi.org/10.1016/j.tree.2011.03.023"
"d010:label","Label for invasive (category D2) http://rs.tdwg.org/dwc/terms/d010","invasivo (categoría D2)"
"d010:definition","Definition for invasive (category D2) http://rs.tdwg.org/dwc/terms/d010","Población autosuficiente fuera de cautiverio o cultivo, con individuos que sobreviven y se reproducen a una distancia significativa del punto de introducción original."
"d010:notes","Notes for invasive (category D2) http://rs.tdwg.org/dwc/terms/d010","La población se mantiene mediante la reproducción, se está extendiendo y su descendencia también se está reproduciendo y extendiendo. Ver también ""categoría D2"" en Blackburn et al. 2011. https://doi.org/10.1016/j.tree.2011.03.023"
"d011:label","Label for widespread invasive (category E) http://rs.tdwg.org/dwc/terms/d011","invasivo generalizado (categoría E)"
"d011:definition","Definition for widespread invasive (category E) http://rs.tdwg.org/dwc/terms/d011","Especie totalmente invasora, con individuos que se dispersan, sobreviven y se reproducen en múltiples sitios a través de un espectro de hábitats y rango geográfico."
"d011:usage","Usage for widespread invasive (category E) http://rs.tdwg.org/dwc/terms/d011","Este término es usado únicamente por especies invasoras con el más alto nivel de invasión."
"d011:notes","Notes for widespread invasive (category E) http://rs.tdwg.org/dwc/terms/d011","Ver también ""categoría E"" en Blackburn et al. 2011. https://doi.org/10.1016/j.tree.2011.03.023"
