"identifier","context","text"
"d:label","Label for degreeOfEstablishment concept scheme http://rs.tdwg.org/dwc/terms/d",""
"d:definition","Definition for degreeOfEstablishment concept scheme http://rs.tdwg.org/dwc/terms/d","Pojmové schéma SKOS, které se má používat jako řízený slovník pro termíny Darwin Core dwc:degreeOfEstablishment a dwciri:degreeOfEstablishment"
"d001:label","Label for native (category A) http://rs.tdwg.org/dwc/terms/d001","původní (kategorie A)"
"d001:definition","Definition for native (category A) http://rs.tdwg.org/dwc/terms/d001","Nepřepravuje se za hranice původního areálu."
"d001:notes","Notes for native (category A) http://rs.tdwg.org/dwc/terms/d001","Považuje se za původní a přirozeně se vyskytující. Viz také „kategorie A“ v Blackburn et al. 2011. https://doi.org/10.1016/j.tree.2011.03.023"
"d002:label","Label for captive (category B1) http://rs.tdwg.org/dwc/terms/d002",""
"d002:definition","Definition for captive (category B1) http://rs.tdwg.org/dwc/terms/d002","Jedinci v zajetí nebo karanténě (tj. jedinci, kteří mají vhodné podmínky, ale jsou zavedena výslovná opatření k jejich omezení)."
"d002:usage","Usage for captive (category B1) http://rs.tdwg.org/dwc/terms/d002","Pouze v případech, kdy byla provedena zvláštní opatření k zabránění úniku jedinců nebo rozmnožovacích látek."
"d002:notes","Notes for captive (category B1) http://rs.tdwg.org/dwc/terms/d002","Viz také „kategorie B1“ v Blackburn et al. 2011. https://doi.org/10.1016/j.tree.2011.03.023"
"d003:label","Label for cultivated (category B2) http://rs.tdwg.org/dwc/terms/d003",""
"d003:definition","Definition for cultivated (category B2) http://rs.tdwg.org/dwc/terms/d003","Jedinci v kultivaci (tj. jedinci, kteří mají vhodné podmínky, ale explicitní opatření proti rozptylu jsou přinejlepším omezená)."
"d003:notes","Notes for cultivated (category B2) http://rs.tdwg.org/dwc/terms/d003","Příkladem jsou zahrady, parky a farmy. Viz také „kategorie B2“ v Blackburn et al. 2011. https://doi.org/10.1016/j.tree.2011.03.023"
"d004:label","Label for released (category B3) http://rs.tdwg.org/dwc/terms/d004",""
"d004:definition","Definition for released (category B3) http://rs.tdwg.org/dwc/terms/d004","Jedinci přímo vypuštění do nového prostředí."
"d004:notes","Notes for released (category B3) http://rs.tdwg.org/dwc/terms/d004",""
"d005:label","Label for failing (category C0) http://rs.tdwg.org/dwc/terms/d005",""
"d005:definition","Definition for failing (category C0) http://rs.tdwg.org/dwc/terms/d005",""
"d005:notes","Notes for failing (category C0) http://rs.tdwg.org/dwc/terms/d005",""
"d006:label","Label for casual (category C1) http://rs.tdwg.org/dwc/terms/d006",""
"d006:definition","Definition for casual (category C1) http://rs.tdwg.org/dwc/terms/d006",""
"d006:notes","Notes for casual (category C1) http://rs.tdwg.org/dwc/terms/d006",""
"d007:label","Label for reproducing (category C2) http://rs.tdwg.org/dwc/terms/d007",""
"d007:definition","Definition for reproducing (category C2) http://rs.tdwg.org/dwc/terms/d007",""
"d007:notes","Notes for reproducing (category C2) http://rs.tdwg.org/dwc/terms/d007",""
"d008:label","Label for established (category C3) http://rs.tdwg.org/dwc/terms/d008",""
"d008:definition","Definition for established (category C3) http://rs.tdwg.org/dwc/terms/d008",""
"d008:notes","Notes for established (category C3) http://rs.tdwg.org/dwc/terms/d008",""
"d009:label","Label for colonising (category D1) http://rs.tdwg.org/dwc/terms/d009",""
"d009:definition","Definition for colonising (category D1) http://rs.tdwg.org/dwc/terms/d009",""
"d009:notes","Notes for colonising (category D1) http://rs.tdwg.org/dwc/terms/d009",""
"d010:label","Label for invasive (category D2) http://rs.tdwg.org/dwc/terms/d010",""
"d010:definition","Definition for invasive (category D2) http://rs.tdwg.org/dwc/terms/d010",""
"d010:notes","Notes for invasive (category D2) http://rs.tdwg.org/dwc/terms/d010",""
"d011:label","Label for widespread invasive (category E) http://rs.tdwg.org/dwc/terms/d011",""
"d011:definition","Definition for widespread invasive (category E) http://rs.tdwg.org/dwc/terms/d011",""
"d011:usage","Usage for widespread invasive (category E) http://rs.tdwg.org/dwc/terms/d011",""
"d011:notes","Notes for widespread invasive (category E) http://rs.tdwg.org/dwc/terms/d011",""
