term_localName,label_en,label_de,label_es,label_fr,label_ko,label_nl,label_ru,label_zh-Hans,label_zh-Hant,definition_en,definition_de,definition_es,definition_fr,definition_ko,definition_nl,definition_ru,definition_zh-Hans,definition_zh-Hant,usage_en,usage_de,usage_es,usage_fr,usage_ko,usage_nl,usage_ru,usage_zh-Hans,usage_zh-Hant,notes_en,notes_de,notes_es,notes_fr,notes_ko,notes_nl,notes_ru,notes_zh-Hans,notes_zh-Hant
d,degreeOfEstablishment concept scheme,,esquema del concepto degreeOfEstablishment,schema pour le concept du degré d'implantation,정착수위 개념 체계,,,,拓殖程度,A SKOS Concept Scheme to be used as a controlled vocabulary for the Darwin Core terms dwc:degreeOfEstablishment and dwciri:degreeOfEstablishment,,Un esquema conceptual SKOS que se utilizará como vocabulario controlado para los términos Darwin Core dwc:degreeOfEstablishment y dwciri:degreeOfEstablishment,Un Schéma Conceptuel SKOS qui doit être utilisé comme un vocabulaire contrôlé pour les termes Darwin Core dwc:establishmentMeans et dwciri:establishmentMeans,다윈 핵심 용어 dwc:degreeOfEstablishement 및 dwciri:degreeOfEstablishement의 통제된 어휘로 사용되는 SKOS 개념 체계,,,,,,,,,,,,,,,,,,,,,,
d001,native (category A),einheimisch,nativo (categoría A),natif (catégorie A),토착,,,,原生,Not transported beyond limits of native range.,Nicht über die Grenzen des einheimischen Verbreitungsgebiets hinaus transportiert.,No se transporta más allá de los límites del área de distribución nativa.,Non transportable au-delà des limites de la répartition native.,토착 범위의 한계를 넘어 운송되지 않음,,,,未運輸至原本活動範圍之外,,,,,,,,,,"Considered native and naturally occurring. See also ""category A"" in Blackburn et al. 2011. https://doi.org/10.1016/j.tree.2011.03.023",,"Considerado nativo y ocurriendo de forma natural. Ver también ""categoría A"" en Blackburn et al. 2011. https://doi.org/10.1016/j.tree.2011.03.023",,,,,,
d002,captive (category B1),gefangen,en cautividad (categoría B1),captif (catégorie B1),포획,,,,收容,"Individuals in captivity or quarantine (i.e., individuals provided with conditions suitable for them, but explicit measures of containment are in place).","Individuen in Gefangenschaft oder Quarantäne (d.h. Individuen, die unter für sie geeigneten Bedingungen gehalten werden, aber explizite Maßnahmen der Eindämmung sind umgesetzt).","Individuos en cautiverio o cuarentena (es decir, individuos provistos de condiciones adecuadas para ellos, pero con medidas explícitas de contención).","Individus en captivité ou en quarantaine (i.e. individus dont les conditions sont acceptables pour eux, mais dont les conditions de captivité sont en place).","구금이나 격리된 개체들(개체들에 적합한 조건을 제공하지만, 오염이 제 자리에 있도록 명백한 조치가 취해지고 있음)",,,,,Only for cases where specific actions have been taken place to prevent escape of individuals or propagules.,,Solo para casos donde acciones específicas han sido aplicadas para prevenir el escape de individuos o propágulos.,,,,,,,"See also ""category B1"" in Blackburn et al. 2011. https://doi.org/10.1016/j.tree.2011.03.023",,"Ver también ""categoría B1"" en Blackburn et al. 2011. https://doi.org/10.1016/j.tree.2011.03.023",,,,,,
d003,cultivated (category B2),gezüchtet,cultivado (categoría B2),cultivé (catégorie B2),경작,,,,栽培,"Individuals in cultivation (i.e., individuals provided with conditions suitable for them, but explicit measures to prevent dispersal are limited at best).","Individuen in Zucht (d.h. Individuen, denen geeignete Bedingungen geboten werden, aber explizite Maßnahmen zur bestmöglichen Verhinderung der Ausbreitung sind umgesetzt.)","Individuos en cultivo (es decir, individuos provistos de condiciones adecuadas para ellos, pero las medidas explícitas para evitar la dispersión son limitadas en el mejor de los casos).",Individus en culture (i.e. individus dont les conditions sont acceptables mais dont les mesures de prévention de dispersion sont limités au maximum).,,,,,,,,,,,,,,,"Examples include gardens, parks and farms. See also ""category B2"" in Blackburn et al. 2011. https://doi.org/10.1016/j.tree.2011.03.023",,"Ejemplos incluyen jardines, parques y granjas. Ver también ""categoría B2"" en Blackburn et al. 2011. https://doi.org/10.1016/j.tree.2011.03.023",,,,,,
d004,released (category B3),ausgesetzt,liberado (categoría B3),relâché (catégorie B3),방출,,,,野放,Individuals directly released into novel environment.,"Individuen, die direkt in eine neue Umwelt entlassen werden.",Individuos liberados directamente en un entorno nuevo.,Individus directement relâchés dans un nouvel environnement.,,,,,,,,,,,,,,,"For example, fish stocked for angling, birds for hunting. See also ""category B3"" in Blackburn et al. 2011. https://doi.org/10.1016/j.tree.2011.03.023",,"Por ejemplo, peces almacenados para la pesca con caña, aves para la caza. Ver también ""categoría B3"" en Blackburn et al. 2011. https://doi.org/10.1016/j.tree.2011.03.023",,,,,,
d005,failing (category C0),erfolglos,en peligro (categoría C0),échec (catégorie C0),실패,,,,衰退中,"Individuals released outside of captivity or cultivation in a location, but incapable of surviving for a significant period.","Individuen, die außerhalb der Gefangenschaft oder der Zucht an einem Ort freigelassen werden, aber nicht in der Lage sind, über einen längeren Zeitraum zu überleben.","Individuos liberados fuera del cautiverio o del cultivo en un lugar, pero incapaces de sobrevivir durante un periodo significativo.",Individus relâchés en dehors de la zone de captivité ou de la culture dans un lieu mais qui sont incapables de survivre pour une période significative.,,,,,,,,,,,,,,,"For example, frost-tender plants sown or planted in a cold climate. See also ""category C0"" in Blackburn et al. 2011. https://doi.org/10.1016/j.tree.2011.03.023",,"Por ejemplo, plantas sembradas sensibles a las heladas o plantadas en un clima frío. Ver también ""categoría C0"" en Blackburn et al. 2011. https://doi.org/10.1016/j.tree.2011.03.023",,,,,,
d006,casual (category C1),unbeständig,ocasional (categoría C1),moyen (catégorie C1),임시,,,,偶然出現的,Individuals surviving outside of captivity or cultivation in a location with no reproduction.,"Individuen, die außerhalb von Gefangenschaft oder Zucht an einem Ort überleben, sich aber nicht fortpflanzen.",Individuos que sobreviven fuera de la cautividad o del cultivo en un lugar sin reproducción.,Individus survivant en dehors de la zone de captivité ou de culture dans un lieu sans repoduction.,,,,,,,,,,,,,,,"Trees planted in the wild for forestry or ornament may come under this category. See also ""category C1"" in Blackburn et al. 2011. https://doi.org/10.1016/j.tree.2011.03.023",,"Árboles plantados en medios silvestres para tala u ornamentación pueden entrar en esta categoría. Ver también ""categoría C1"" en Blackburn et al. 2011. https://doi.org/10.1016/j.tree.2011.03.023",,,,,,
d007,reproducing (category C2),fortpflanzend,en reprodución (categoría C2),reproduction (catégorie C2),재생산,,,,繁殖中,"Individuals surviving outside of captivity or cultivation in a location. Reproduction is occurring, but population not self-sustaining.","Individuen, die außerhalb von Gefangenschaft oder Zucht an einem Ort überleben. Fortpflanzung ist erfolgreich, aber die Population ist nicht selbsterhaltend.","Individuos que sobreviven fuera de la cautividad o del cultivo en un lugar. Se reproduce, pero la población no es autosuficiente.",Individus survivant en dehors de la zone de captivité ou de la culture dans un lieu. La reproduction peut se faire mais la population ne se maintient pas tout seule.,,,,,,,,,,,,,,,"Offspring are produced, but these either do not survive or are not fertile enough to maintain the population. See also ""category C2"" in Blackburn et al. 2011. https://doi.org/10.1016/j.tree.2011.03.023",,,,,,,,
d008,established (category C3),etabliert,establecida (categoría C3),implanté (catégorie C3),정착,,,,歸化,"Individuals surviving outside of captivity or cultivation in a location. Reproduction occurring, and population self-sustaining.","Individuen, die außerhalb von Gefangenschaft oder Zucht an einem Ort überleben. Fortpflanzung ist erfolgreichund die Population ist selbsterhaltend.",Individuos que sobreviven fuera de la cautividad o del cultivo en un lugar. Se reproducen y la población es autosuficiente.,Individus survivant en dehors de la zone de captivité ou de la culture dans un lieu. La reproduction se fait et la population se maintient toute seule.,,,,,,,,,,,,,,,"The population is maintained by reproduction, but is not spreading. See also ""category C3"" in Blackburn et al. 2011. https://doi.org/10.1016/j.tree.2011.03.023",,,,,,,,
d009,colonising (category D1),kolonisierend,colonizadora (categoría D1),colonisant (catégorie D1),서식,,,,拓殖中,"Self-sustaining population outside of captivity or cultivation, with individuals surviving a significant distance from the original point of introduction.","Sich selbst erhaltende Population außerhalb von Gefangenschaft oder Zucht, in der die Individuen eine große Entfernungen vom Aussetzungsortüberleben.","Población autosuficiente fuera de cautiverio o cultivo, con individuos que sobreviven a una distancia significativa del punto de introducción original.","Population auto-maintenue en dehors de la zone de captivité ou de culture, avec des individus survivant à une distance significative du point d'introduction.",,,,,,,,,,,,,,,"The population is maintained by reproduction and is spreading. See also ""category D1"" in Blackburn et al. 2011. https://doi.org/10.1016/j.tree.2011.03.023",,,,,,,,
