document_modified,term_localName,term_isDefinedBy,term_created,term_modified,term_deprecated,replaces_term,replaces1_term,replaces2_term,label,rdfs_comment,skos_scopeNote,dcterms_description,rdf_type,tdwgutility_organizedInClass,tdwgutility_decision,tdwgutility_layer,tdwgutility_required,tdwgutility_repeatable
2018-06-14T13:58:00-05:00,accessURI,http://rs-test.tdwg.org/ac/terms/,2013-10-28,2013-10-28,,,,,Access URI,"A URI that uniquely identifies a service that provides a representation of the underlying resource. If this resource can be acquired by an http request, its http URL should be given. If not, but it has some URI in another URI scheme, that may be given here.",,"Value might point to something offline, such as a published CD, etc. For example, the doi of an published CD would be a suitable value.",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs-test.tdwg.org/dwc/terms/attributes/ServiceAccessPoint,,1,No,No
2018-06-14T13:58:00-05:00,associatedObservationReference,http://rs-test.tdwg.org/ac/terms/,2013-10-28,2013-10-28,,,,,Associated Observation Reference,A reference to an observation associated with this resource.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs-test.tdwg.org/dwc/terms/attributes/RelatedResources,,1,No,Yes
2018-06-14T13:58:00-05:00,associatedSpecimenReference,http://rs-test.tdwg.org/ac/terms/,2013-10-28,2013-10-28,,,,,Associated Specimen Reference,A reference to a specimen associated with this resource.,,"Supports finding a specimen resource, where additional information is available. If several resources relate to the same specimen, these are implicitly related. Examples: for NHM ""BM 23974324"" for a barcoded or ""BM Smith 32"" for a non-barcoded specimen; for UNITS: ""TSB 28637""; for PMSL: ""PMSL-Lepidoptera-2534781"". Ideally this may be a URI identifying a specimen record that is available online.",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs-test.tdwg.org/dwc/terms/attributes/RelatedResources,,1,No,Yes
2018-06-14T13:58:00-05:00,attributionLinkURL,http://rs-test.tdwg.org/ac/terms/,2013-10-28,2013-10-28,,,,,Attribution Link URL,"The URL where information about ownership, attribution, etc. of the resource may be found.",,"This URL may be used in creating a clickable logo. Providers should consider making this link as specific and useful to consumers as possible, e. g., linking to a metadata page of the specific image resource rather than to a generic page describing the owner or provider of a resource.",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs-test.tdwg.org/dwc/terms/attributes/Attribution,,1,No,No
2018-06-14T13:58:00-05:00,attributionLogoURL,http://rs-test.tdwg.org/ac/terms/,2013-10-28,2013-10-28,,,,,Attribution URL,The URL of the icon or logo image to appear in source attribution.,,Entering this URL into a browser should only result in the icon (not in a webpage including the icon).,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs-test.tdwg.org/dwc/terms/attributes/Attribution,,1,No,No
2018-06-14T13:58:00-05:00,caption,http://rs-test.tdwg.org/ac/terms/,2013-10-28,2013-10-28,,,,,Caption,"As alternative or in addition to description, a caption is free-form text to be displayed together with (rather than instead of) a resource that is suitable for captions (especially images).",,"If both description and caption are present in the metadata, a description is typically displayed instead of the resource, a caption together with the resource. Often only one of description or caption is present; choose the term most appropriate for your metadata.",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs-test.tdwg.org/dwc/terms/attributes/ContentCoverage,,2,No,No
2018-06-14T13:58:00-05:00,captureDevice,http://rs-test.tdwg.org/ac/terms/,2013-10-28,2013-10-28,,,,,Capture Device,Free form text describing the device or devices used to create the resource.,,"It is best practice to record the device; this may include a combination such as camera plus lens, or camera plus microscope. Examples: ""Canon Supershot 2000"", ""Makroscan Scanner 2000"", ""Zeiss Axioscope with Camera IIIu"", ""SEM (Scanning Electron Microscope)"".",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs-test.tdwg.org/dwc/terms/attributes/ResourceCreation,,2,No,No
2018-06-14T13:58:00-05:00,commenter,http://rs-test.tdwg.org/ac/terms/,2013-10-28,2013-10-28,,,,,Commenter,"A URI denoting a person, using some controlled vocabulary such as FOAF. Implementers and communities of practice may produce restrictions or recommendations on the choice of vocabularies.",,"See also Reviewer Comments for the distinction between Comments and Reviewer Comments. See also the entry for ac:commenterLiteral and the section Namespaces, Prefixes and Term Names in the Audubon Core Term List document for discussion of the rationale for separate terms taking URI values from those taking Literal values where both are possible. Normal practice is to use the same Label if both are provided. Labels have no effect on information discovery and are only suggestions.",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs-test.tdwg.org/dwc/terms/attributes/Management,,2,No,No
2018-06-14T13:58:00-05:00,commenterLiteral,http://rs-test.tdwg.org/ac/terms/,2013-10-28,2013-10-28,,,,,Commenter,"A name or the literal ""anonymous"" (= anonymously commented).",,"See also Reviewer Comments for the distinction between Comments and Reviewer Comments. See also the entry for ac:commenter and the section Namespaces, Prefixes and Term Names in the Audubon Core Term List document for discussion of the rationale for separate terms taking URI values from those taking Literal values where both are possible. Normal practice is to use the same Label if both are provided. Labels have no effect on information discovery and are only suggestions.",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs-test.tdwg.org/dwc/terms/attributes/Management,,2,No,No
2018-06-14T13:58:00-05:00,comments,http://rs-test.tdwg.org/ac/terms/,2013-10-28,2013-10-28,,,,,Comments,"Any comment provided on the media resource, as free-form text. Best practice would also identify the commenter.",,"Comments may refer to the resource itself (e. g., asserting a taxon name or location of a biological subject in an image), or to the relation between resource and associated metadata (e. g., asserting that the taxon name given in the metadata is wrong, without asserting a positive identification). There is a separate item for Reviewer Comments, which is defined more as an expert-level review. Implementers or communities of practice might establish conventions about the meaning of the absence of a commenter, but this specification is silent on that matter.",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs-test.tdwg.org/dwc/terms/attributes/Management,,2,No,Yes
