document_modified,term_localName,term_isDefinedBy,term_created,term_modified,term_deprecated,replaces_term,replaces1_term,replaces2_term,label,definition,usage,notes,examples,rdf_type,tdwgutility_organizedInClass
2022-05-10T14:45:57-05:00,addressCountry,https://schema.org/,2022-05-10,2022-05-10,,,,,Address Country,"The country. For example, USA. You can also provide the two-letter ISO 3166-1 alpha-2 country code.",,,"`Denmark`, `Colombia`, `España`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/ltc/terms/attributes/Address
2022-05-10T14:45:57-05:00,addressLocality,https://schema.org/,2022-05-10,2022-05-10,,,,,Address Locality,"The locality in which the street address is, and which is in the region. For example which city, Mountain View.",The locality in which the address is located. AddressLocality is a more specific geographic area than addressRegion.,,"`Holzminden`, `Araçatuba`, `Ga-Segonyana`, `Mountain View`, `Coventry`, `Tokyo`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/ltc/terms/attributes/Address
2022-05-10T14:45:57-05:00,addressRegion,https://schema.org/,2022-05-10,2022-05-10,,,,,Address Region,"The region in which the locality is, and which is in the country. For example, California or another appropriate first-level Administrative division.",,,"`Missoula`, `Los Lagos`, `Mataró`, `Guangdong`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/ltc/terms/attributes/Address
2022-05-10T14:45:57-05:00,addressType,https://schema.org/,2022-05-10,2022-05-10,,,,,Address Type,"A person or organization can have different contact points, for different purposes. For example, a sales contact point, a PR contact point and so on. This property is used to specify the kind of contact point.","A person or organization can have different addresses, for different purposes. For example, a postal address, a loan address, an address for visits and so on. This property is used to specify the kind of address.",,"`Physical`, `Postal`, `Loans`, `Visits`, `Home`, `Work`, `Main`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/ltc/terms/attributes/Address
2022-05-10T14:45:57-05:00,postOfficeBoxNumber,https://schema.org/,2022-05-10,2022-05-10,,,,,Post Office Box Number,The post office box number for PO box addresses.,,,`PO Box 7169`,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/ltc/terms/attributes/Address
2022-05-10T14:45:57-05:00,postalCode,https://schema.org/,2022-05-10,2022-05-10,,,,,Postal Code,"The postal code. For example, 94043.",,,"`32308`, `SW7 5HD`, `10115`, `3080`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/ltc/terms/attributes/Address
2022-05-10T14:45:57-05:00,streetAddress,https://schema.org/,2022-05-10,2022-05-10,,,,,Street Address,"The street address. For example, 1600 Amphitheatre Pkwy.",,,"`Invalidenstraße 43`, `1400 S. Du Sable Lake Shore Dr`, `960 Carling Avenue`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/ltc/terms/attributes/Address
2022-05-10T14:45:57-05:00,additionalName,https://schema.org/,2022-05-10,2022-05-10,,,,,Additional Name,"An additional name for a Person, can be used for a middle name.",,,"`Stewart`, `Grace`, `Manthey`, `Kwame`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/ltc/terms/attributes/Person
2022-05-10T14:45:57-05:00,familyName,https://schema.org/,2022-05-10,2022-05-10,,,,,Family Name,"Family name. In the U.S., the last name of a Person.",,,"`Jones`, `Keita`, `O'Rourke`, `Carreño Quiñones`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/ltc/terms/attributes/Person
2022-05-10T14:45:57-05:00,givenName,https://schema.org/,2022-05-10,2022-05-10,,,,,Given Name,"Given name. In the U.S., the first name of a Person.",,,"`Beth`, `John`, `María José`, `Björn`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/ltc/terms/attributes/Person
